id	review	severity	owner	status	resolution_contract	rereview
ARCH-FINAL-01	review-architecture-final.md	P2	root	reviewed_closed	TASK-031 primary proof is architecture CHK-006; TASK-006 explicitly classifies registry as non-frame; independently qualified actual production positive/mutant/transport corpus is frozen behind TASK-072 CHK-011	review-contract-repairs.md;review-rust-qualification.md
PARITY-FINAL-01	review-parity-final.md	High	tasks_showcase_holla	reviewed_closed	All135 Holla parents audited;25 complete-owner corrections and23 nonempty contributions; actual SWEEP follow-ups and historical clauses retain complete later closure	review-parity-repairs.md
PARITY-FINAL-02	review-parity-final.md	High	tasks_jackin_tablepro	reviewed_closed	Jackin full-route ownership and source-derived early contributions independently checked; original parents remain intact	review-parity-repairs.md
PARITY-FINAL-03	review-parity-final.md	High	tasks_jackin_tablepro	reviewed_closed	TablePro Query-on-connect and QuickSwitcher dependencies corrected; seeded direct contributions are separately qualified and never replace full input reachability	review-parity-repairs.md
PARITY-FINAL-04	review-parity-final.md	High	tasks_showcase_holla;runner_bootstrap_contract	reviewed_closed	986 native source sites independently match exact lines/hashes; original geometry/assertions remain intact, resized source-only mapping and concrete native/pointer mechanism remain separate	review-parity-repairs.md
DAG-FINAL-01	review-dag-final.md	P1	task_planner;runner_bootstrap_contract	reviewed_closed	Preparation authority independently executes prepatch and approved-postpatch inventories before dispatch, validates complete delivered proposals, and does not require its own future receipt	review-contract-repairs.md;review-verifier-repairs.md
DAG-FINAL-02	review-dag-final.md	P1	task_planner	reviewed_closed	Exact146-source scope and approved assertion spans preserve outside bytes; independently observed replacement-failure register rejects altered patches, omissions and forged evidence	review-contract-repairs.md;review-verifier-repairs.md
DAG-FINAL-03	review-dag-final.md	P1	task_planner;runner_bootstrap_contract	reviewed_closed	Production owners explicitly own untrusted extraction seams; independently executed variable-state/seed fixtures reject false or incomplete observations	review-contract-repairs.md;review-verifier-repairs.md
DAG-FINAL-04	review-dag-final.md	P2	root;task_planner	reviewed_closed	Explicit pinned configuration bound to commands; all73 packages independently linted from project cwd	review-contract-repairs.md
DAG-FINAL-05	review-dag-final.md	P2	root	reviewed_closed	Canonical graph depth33 with24 longest paths and zero unordered overlaps; hard-edge/count guards reject four independent stale mutations	review-contract-repairs.md
VF-01	review-verification-final.md	P1	root	reviewed_closed	All15 qualification arguments use exact070/071/072; independent ABI audit and cross-artifact guard pass	review-verifier-repairs.md
VF-02	review-verification-final.md	P1	proof_contract	reviewed_closed	Complete required identities/counts enforced; independent62-probe aggregate rereview plus72vectors/888schema probes/nine lying runners pass	bootstrap-review.md
VF-03	review-verification-final.md	P1	host_bootstrap_contract;runner_bootstrap_contract	reviewed_closed	Host and runner independently qualify immutable per-check index, exact child schema, separate operation outputs, tamper/reuse/omission and correctly rehashed invalid-member rejection	bootstrap-review.md;review-verifier-repairs.md
VF-04	review-verification-final.md	P2	runner_bootstrap_contract	reviewed_closed	Exact assertion/source/run/qualified identity policy rejects cross-target allowance or closure borrowing; real per-target corrections close unresolved sets2to1to0	review-verifier-repairs.md
VF-05	review-verification-final.md	P2	runner_bootstrap_contract	reviewed_closed	Privately compiled Rust workload provides real allocation/time/style measurements; independent fabricated-output and denominator/counter/workload negatives reject	review-verifier-repairs.md
INT-01	review-integration-final.md	High	root	reviewed_closed	Future integration branch precedes proof/baseline commits; production refactoring alone waits for sealed oracle/disposition; no branch created during planning	review-contract-repairs.md
INT-02	review-integration-final.md	Medium	task_planner;host_bootstrap_contract	reviewed_closed	Explicit campaign adaptation preserves canonical task/progress semantics; protected observer validates actual taskfmt execution and seals independent evidence	review-contract-repairs.md;bootstrap-review.md
INT-03	review-integration-final.md	High	host_bootstrap_contract	reviewed_closed	Independent21-probe rereview passes filesystem-derived freeze with stale index, unstaged/untracked/deleted source and separate overlay scope base; public evidence cannot redefine private accepted proof	bootstrap-review.md
