id	source	revision	decision_or_requirement	authority_status	acceptance_or_amendment_evidence	implementation_evidence	files_or_families	current_main_status	remaining_obligation	verification_requirement	task_ids
HI-001	docs/audit/interaction-audit.md B2-B3; STATE	a156054d	Retained props plus caller-owned state; explicit update/draw; runtime resolves intents	accepted; immediate show rejected	STATE a156054d; Slice2 review upheld A-I	foundations18afddd; corrections7899678 reported in STATE	runtime; all components	not independently tested	Preserve phase capability separation across all migrated apps	draw shared-self; no semantic mutation on repeated draw; truthful handle outcome	TASK-010;TASK-065
HI-002	docs/audit/interaction-audit.md B1	e81ca17b	Separated and kind-tagged Id plus stable ItemKey; typed part routing	accepted and amended	STATE a156054d; foundations review2.2 accepts structural derives	STATE bf491867 reports correction	id; collection; hit; focus	not independently tested	Stable logical identity under insert/remove/reorder; no owns/locate inversion	collision-kind corpus; actual click/close key after reorder; negative controls	TASK-010;TASK-015
HI-003	docs/audit/interaction-audit.md B2	e81ca17b	Response separates flow invalidation and semantic action	accepted and amended	Slice2 J restricts BitOr to Response<()>; foundations4c accepts first available id	foundations review response complete; current untested	response; component actions	not independently tested	No tuple/bool/polled-result fallback; typed action mapping without value leakage	compile-fail must_use and unit-only BitOr; consumed-without-repaint	TASK-010
HI-004	docs/audit/interaction-audit.md B3	e81ca17b	Runtime owns routing services, not retained boxed component tree	accepted; boxed tree/full-tree dispatch rejected	STATE A/E; foundations phase split review4b	foundations18afddd reported	runtime; Cx; Ui; registry	not independently tested	Apps own data and domain composition; direct owner/part dispatch	borrowed external component compile; no full collection scan per event	TASK-010;TASK-065
HI-005	docs/audit/interaction-audit.md B4-B8	e81ca17b	Focus scopes restoration explicit capture nested layers and cursor arbitration	accepted and amended	J Esc ordering; foundations F6/F8/F15/F16; N layer sizing	7899678 reported; later corrections require join	focus; capture; layer; cursor	not independently tested	Top-layer hit wins regardless registration; focused owner cursor; resize delivers focus transition	nested overlays; reversed draw order; capture release; multi-writer cursor; resize focus pair	TASK-010;TASK-017
HI-006	docs/audit/interaction-audit.md B6	e81ca17b	Innermost axis-aware wheel consumes boundary without bubbling or moving focus	accepted	A/E; foundations MI5 adds layer filter	foundations tests reported; current untested	scroll; hit; all scrollables	not independently tested	Wheel preserves cursor/selection; next navigation reveals cursor; modal blocks underlying scroll	nested wheel actions at top/middle/bottom and each axis	TASK-014
HI-007	docs/audit/interaction-audit.md B9	e81ca17b	Bindings and hints derive from one typed command vocabulary with Capture/Bubble phases	accepted and amended	STATE A/E; foundations D7 command and on_esc	foundation case20 praised as genuine bidirectional key universe	keymap; hintbar; app chords	not independently tested	No label dispatch/key synthesis or generic domain chords; retain product Esc ladders	binding/handled-key equivalence; typing suppression; remap relabels hint	TASK-028;TASK-030
HI-008	docs/audit/interaction-audit.md B10	e81ca17b	Out-of-band repaint deadlines alongside Response invalidation	accepted; Layout retained as Paint-equivalent initially	Slice2 review A7 and STATE A/E	foundations runtime reported	clock; runtime; app animation	not independently tested	One-shot repaint and deterministic clock; preserve oracle animation phases	virtual tick deadline sequences; no input-dependent drift	TASK-009;TASK-010
HI-009	docs/audit/domain-boundary-audit.md1.5-1.6	e81ca17b	One generic Grid; database values pending changes SQL validation commit undo in TablePro	accepted and amended	STATE G; K2 removes GridCellActions and editable(bool)	K accepted f2d30b65; implementation not checked	grid; TablePro model adapter	not independently tested	Retain all22 listed TablePro capabilities through generic actions/model hooks	edit/cycle/external viewer; sort/filter/FK; pending/undo/discard/preview/save; no SQL vocabulary	TASK-022;TASK-060
HI-010	docs/reviews/adjudication-k-form-grid.md; STATE	f2d30b65	Grid read-only update requires GridModel and shared model; editable update requires GridEditor and mutable model	accepted; earlier universal editable bound rejected	STATE f2d30b65 explicitly accepts K2	architecture fold27bd918 reported	GridModel; GridEditor; Grid	not independently tested	No fake editor adapter for read-only model; actions/read_only_reason on GridModel	external read-only model compiles without GridEditor; editable lifecycle tests	TASK-022
