parent_scenario	contribution_id	task_owner	proof_kind	exact_checkpoint_selection	exact_assertions_or_state_keys	source_clause	full_parent_owner	minimum_checkpoint_count
HO-HP01	HO-041-F01	TASK-041	frame	Every production input/draw checkpoint from fresh ParityDiscovery through the assertion immediately before open(Custom action configuration); exclude that open and its later checkpoints	all original discovery/item/diagnostic/argv assertions reached in this prefix; complete frames and cursor	app_tests_parity.rs::hp01_discovery_is_adaptive_stable_and_reports_failed_sources_and_config_warnings	TASK-049	1
HO-HP02	HO-041-F02	TASK-041	frame	First ParityHistory constructor through paste cargo newline check and its draw; stop immediately before the following Enter that creates an Activity	query edits, ranking, matched memories and selection are exact; complete frames and cursor	app_tests_parity.rs::hp02_recents_learned_queries_query_editing_and_persistence_merge	TASK-044	1
HO-FINDER-SWEEP	HO-041-F03	TASK-041	frame	From each hard-cases fresh source route, retain pristine/focus/hover/press/release/key-scroll/thumb/resize checkpoints strictly before any source handler emits navigation or execution; require pristine and one focus plus one list/preview scroll checkpoint at every declared size	complete pre-transition frames/cursor; all omitted-from-early-gate transitions remain in full parent049	screens/finder.rs::on_click;on_double_click;on_wheel;render	TASK-049	3
HO-ROUTE-12	HO-041-F04	TASK-041	frame	HardCases constructor through source resize, scope and Docker query checkpoints immediately before Enter opens the unavailable Snapshot; explicit native resize events retain their literal dimensions	all discovery failure/reason and query assertions reached in this prefix; complete frames and cursor	app_tests_flows.rs::hard_cases_stay_legible_and_report_failed_discovery	TASK-048	1
HO-HP02	HO-041-S01	TASK-041	state	Native source usage assertions after first accepted invocation and in opt-out constructor; record all corresponding protected oracle checkpoint ordinals	persisted.frecency;usage count2;merged system.resources record;learned pull=git.pull_rebase;gone and orphan Unicode query absent;disabled store never writes; original target argv request identity	app_tests_parity.rs::hp02_recents_learned_queries_query_editing_and_persistence_merge	TASK-044	1
HO-HP03	HO-042-F01	TASK-042	frame	From ParityFiles start through all indexing/query/copy assertions, ending immediately before the final two Enters that choose Open in OS and create Activity	all prefix file-search/copy assertions and complete frames/cursor	app_tests_parity.rs::hp03_find_files_indexes_home_truthfully_and_resource_actions_are_exact	TASK-044	1
HO-FILES-ACTIONS	HO-042-F02	TASK-042	frame	Each fresh file-action menu SWEEP branch: capture menu hover/Down and cursor movement before activation Up/Enter; also complete Copy and Preview-here branches; no prefix crossing Activity or Disk	exact path-labelled menu/hits, disabled/outside/no-op states and complete local preview/copy frames	screens/files.rs::open_actions;file_action;on_modal	TASK-045	1
HO-ROUTE-20	HO-042-S01	TASK-042	state	Immediately after real file menu choice emits each Reveal and Analyze request, before renderer-dependent descendant checks	Reveal request exact open -R path/cwd;Analyze request exact selected assets path;originating browser stack and stable selected path	app_tests_rows.rs::i_f10_i_f12_file_actions_reveal_through_open_r_and_analyze_the_folder; screens/files.rs::file_action	TASK-045	2
HO-ROUTE-05	HO-043-F01	TASK-043	frame	MonorepoChild native source prefix from constructor through trust acceptance and Arguments assertion; end immediately before Ctrl+S creates Activity	trustCancel initial owner, exact child file text/path and arguments; complete frame/cursor at every prefix checkpoint	app_tests_flows.rs::nested_child_trusts_then_runs_in_the_child_directory	TASK-044	1
HO-ARGS	HO-043-F02	TASK-043	frame	Each named HO-ARGS PORT-EDIT branch from holla-trace-corrections.md through its final pre-Ctrl+S edit checkpoint for args-insert-fallback, args-valid-replacement and args-nonnumeric-fallback; include the complete args-required-empty refusal/Escape branch; exclude every successful submit and resulting Snapshot	exact editing pointer/cursor/focus and raw drafts51735173,5173,abc,empty; Ctrl+L replacement and empty Required refusal; all complete frames; no invented numeric validation; raw-kind/display-fallback descendants remain048	screens/review.rs::ArgsPage;widgets/input.rs::on_click;widgets/field_common.rs::edit_key;holla-trace-corrections.md::HO-ARGS	TASK-048	1
