id	source_revision	source_section	requirement	disposition	implementation_or_plan_mapping	required_proof	current_verification
RG01	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1	Custom complete theme using caller colors	accepted	A-theme; component customization matrix	Theme seed and downgrade tests	historical_contract_extracted_current_proof_owned_by_matrices
RG02	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Partial semantic-token overrides inherit unspecified roles predictably	accepted	A-theme; theme matrix	Partial-patch inheritance/reset tests	historical_contract_extracted_current_proof_owned_by_matrices
RG03	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Component-family global customization without editing renderer	accepted	A-theme; per-family matrix	Visible recipe override tests	historical_contract_extracted_current_proof_owned_by_matrices
RG04	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Global custom component variant; extensible beyond closed defaults	accepted	A-theme; variant matrix	Registered variant/style query and visible-cell tests	historical_contract_extracted_current_proof_owned_by_matrices
RG05	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Subtree/local scope customization inherits without global mutation	accepted	A-theme; Ui scopes	Scope isolation and nested precedence tests	historical_contract_extracted_current_proof_owned_by_matrices
RG06	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Per-instance meaningful-part customization	accepted	A-theme; all PARTS	Each exposed part changes intended visible cells only	historical_contract_extracted_current_proof_owned_by_matrices
RG07	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/15	Meaningful focused/hovered/pressed/selected/disabled/error/busy/editing state overrides	accepted	A-theme; conformance matrix	Override precedence plus actual visible-state proof	historical_contract_extracted_current_proof_owned_by_matrices
RG08	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§1/23G	Downstream custom component uses public theme/input/hit/cursor/layer/test primitives	accepted	AuthorBadge and external author examples	Compile external consumer and runtime authoring journey	historical_contract_extracted_current_proof_owned_by_matrices
RG09	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§2/21	One public API with every component explicitly migrated/decomposed/replaced/removed	accepted	A-disposition; component inventory	No hidden legacy API/facade or undocumented omission	historical_contract_extracted_current_proof_owned_by_matrices
RG10	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§2/21	Application consumes supported facade without privileged implementation access	accepted	Workspace package boundary	Compiler boundary plus negative import fixtures	historical_contract_extracted_current_proof_owned_by_matrices
RG11	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§2/13	Applications own domain behavior, not routine focus/hover/press/hit/cursor/child routing	accepted	Runtime and app ownership matrices	Anti-copy/ownership scanner plus real application event flows	historical_contract_extracted_current_proof_owned_by_matrices
RG12	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§5	No real database/provider API/external Jackin process integration	retained_scope_boundary	All app deterministic adapters	Side-effect isolation and simulated world assertions	historical_contract_extracted_current_proof_owned_by_matrices
RG13	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§5/9	No superficial Widget trait/builders-only refactor or universal trait mixing every concern	rejected_alternatives	Accepted two-phase borrowed component architecture	API review and inheritance/ownership checks	historical_contract_extracted_current_proof_owned_by_matrices
RG14	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§10	Borrowed inputs, clear ownership, no unnecessary static bound/cloning/generics	accepted	A-core; collection API rows	Borrowed non-Clone/non-Display domain fixtures	historical_contract_extracted_current_proof_owned_by_matrices
RG15	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§10	Typed semantic modes/errors, private geometry/caches, normal interactions cannot panic	accepted	Public API inventory and negative probes	Fallible ingestion, tiny geometry and panic guards	historical_contract_extracted_current_proof_owned_by_matrices
RG16	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§11	Domain data, props, durable interaction, controlled values, frame geometry, theme and actions have separate owners	accepted	A-core; architecture state model	Ownership/API review and compile contracts	historical_contract_extracted_current_proof_owned_by_matrices
RG17	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§11	Draw cannot commit/cancel/validate edits, mutate records, activate actions, change controlled selection, close overlays or secretly focus	accepted	A-purity; all stateful components	Shared-reference draw and semantic-state snapshot/reentrancy tests	historical_contract_extracted_current_proof_owned_by_matrices
RG18	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§11	Focus-loss, validation, commit, cancellation and synchronization are explicit lifecycle/input transitions	accepted	Runtime dispatch and field/Grid adapters	No-paint transition tests; repeated paint leaves state unchanged	historical_contract_extracted_current_proof_owned_by_matrices
