id	fixture	sizes	actions	checkpoints	oracle_source	existing_evidence	component_dependencies	status
HO-BASE-01	first-use	80x24,100x30,120x40,160x50	NEW(first-use,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup; additionally expand clock-firstuse-frame-0-1-40 and clock-cadence-not-delta branches from holla-shell-construction-contract.md	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner; source epoch1789004460 and frame0/1/40 now_ms0/80/3200; paused restoration; admitted200ms cadence advances80ms not200; early/unrelated input unchanged	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14; src/bin/holla/app.rs:133-175,242-246,312; src/bin/holla/sim/world.rs:482; src/bin/holla/clock.rs:7	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-02	rust-dirty	80x24,100x30,120x40,160x50	NEW(rust-dirty,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-03	monorepo-root	80x24,100x30,120x40,160x50	NEW(monorepo-root,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-04	monorepo-child	80x24,100x30,120x40,160x50	NEW(monorepo-child,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-05	docker-cleanup	80x24,100x30,120x40,160x50	NEW(docker-cleanup,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-06	disk-cleanup	80x24,100x30,120x40,160x50	NEW(disk-cleanup,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-07	upgrade-plan	80x24,100x30,120x40,160x50	NEW(upgrade-plan,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-08	activities-multi	80x24,100x30,120x40,160x50	NEW(activities-multi,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-09	remote-host	80x24,100x30,120x40,160x50	NEW(remote-host,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-10	launch-failure	80x24,100x30,120x40,160x50	NEW(launch-failure,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
