scenario_id	surface	sizes	fixture	actions_and_checkpoints	assertions	oracle_source	dependencies
TP-001	CLI	ALL	C	launch;cp(initial);--help subprocess;--color bad subprocess;--connect missing subprocess	Help text and exit statuses exact; initial focus/filter/tree/detail/strip/footer exact	main.rs:24;connections.rs:918	CLI/runtime/panel/tree/input
TP-002	Connections navigation	ALL	C	Down*8;cp(production);Home;End;Up;Tab;BackTab;cp(traversal)	Grouped order, selection distinct from focus; detail changes; full focus ring matches	app_tests.rs:125;connections.rs:440	tree/focus/footer
TP-003	Connection filter	ALL	C	/;type(Production);cp(filtered);Esc;cp(cancelled);/;type(zzzz_no_match);cp(empty);Esc;Down;cp(restored)	Text editing cancellation and no-match details/disabled actions match	connections.rs:440,327	input/tree/empty
TP-004	Connection hover and actions	ALL	C	hover(Local PostgreSQL);cp(hover);Down;cp(keyboard_suppresses_hover);hover(Connect);down;cp(pressed);up;cp(connecting)	Hover/press/focus and activation hit regions exact	app.rs:211,1867;connections.rs:738	button/hit/focus
TP-005	Connect success stages	ALL	C	Down*8;Enter;cp(t0);ticks(3);cp(t3);ticks(4);cp(t7);ticks(4);cp(t11);ticks(1);cp(connected)	SSH/authentication progress, spinner and successful Workbench transition	connections.rs:384;app_tests.rs:125	progress/runtime/tree
TP-006	Connection failures retry	ALL	C	/;type(Staging);Enter;Down;Enter;ticks(12);cp(auth_failed);click(Reconnect);cp(retry);ticks(12);cp(failed_again)	Authentication failure detail and retry behavior exact	connections.rs:384,509	error/button/runtime
TP-007	Connection unreachable	ALL	C	/;type(Analytics);Enter;Down;Enter;ticks(12);cp(unreachable);click(Reconnect);ticks(12);cp(retry_failed)	Host timeout message, detail and retry preserve selection	connections.rs:384;app_tests.rs:148	error/button
TP-008	Connection new invalid	ALL	C	Ctrl+N;cp(new_basic);Ctrl+S;cp(invalid);focus(Port);replace(65536);Ctrl+S;cp(invalid_port);focus(Port);replace(0);Ctrl+S;cp(zero_port)	Required and exact port error, focus and disabled/submission behavior	connections.rs:89,246,573	form/validation
TP-009	Connection basic choices	ALL	C	Ctrl+N;focus(Name);replace(Parity fixture);select(Engine,MySQL);cp(mysql_port);select(Engine,SQLite);cp(sqlite_port);select(Engine,PostgreSQL);select(Group,Acme);focus(Environment);End;Space;focus(Safe Mode);End;Space;cp(choices)	Engine port default; group/environment/safety selection and focus	connections.rs:108,573	select/radio/form
TP-010	Connection password and paste	ALL	C	Ctrl+N;focus(Password);Enter;paste(päss秘密);cp(password_field);Esc;focus(Prompt for password);Space;cp(prompt_toggle)	Password field representation, grapheme cursor and checkbox exact; fixture text is synthetic	connections.rs:108,860	input/checkbox
TP-011	Connection advanced	ALL	C	Ctrl+N;focus(BASIC/ADVANCED tabs);Right;Enter;cp(advanced);focus(SSL);Space;focus(SSH);Space;cp(ssh_enabled);focus(SSH host);replace(bastion.fixture);focus(SSH user);replace(operator);focus(Startup);Enter;paste(SET search_path TO public;);Esc;focus(Local only);Space;cp(advanced_filled)	Disclosure focus order, toggles, SSH fields and startup textarea	connections.rs:62,573,1117	tabs/form/textarea/toggle
TP-012	Connection test success and failure	ALL	C	Ctrl+N;focus(Host);replace(localhost);click(Test connection);cp(testing);ticks(10);cp(success);focus(Host);replace(analytics.acme.io);click(Test connection);ticks(10);cp(test_error)	10-tick deterministic test; matching outcome text and focus	connections.rs:384,573	form/progress/error
TP-013	Connection save edit cancel	ALL	C	click(Edit);cp(edit);focus(Name);replace(Local parity);click(Cancel);cp(cancelled);click(Edit);focus(Name);replace(Local parity);Ctrl+S;cp(saved)	Cancel restores original; save edits selected record instead of creating duplicate	connections.rs:509,689	form/input/button
TP-014	Connection duplicate delete	ALL	C	click(Duplicate);cp(copy);click(Delete);cp(delete_prompt);Esc;cp(kept);click(Delete);focus(Delete dialog action);Enter;cp(deleted)	Copy naming/ordering, destructive facts/action focus and deletion selection	connections.rs:509,551	dialog/button/tree
TP-015	Connection empty list	120x40	C	repeat for six original connections: select first connection;click(Delete);focus(Delete dialog action);Enter;cp(after_each_delete);cp(empty);Ctrl+N;cp(new_from_empty)	Final empty list no stale detail/hit/focus; new remains reachable	connections.rs:551,918	empty/tree/focus
TP-016	Connection save and connect	ALL	C	Ctrl+N;focus(Name);replace(Parity local);focus(Host);replace(localhost);focus(Database);replace(acme_dev);focus(User);replace(postgres);click(Save & Connect);cp(connecting);ticks(12);cp(workbench)	Saved connection identity and workbench state exact; no external DB effect	connections.rs:689	form/runtime
TP-017	Workbench initial and focus ring	ALL	W	cp(initial);Tab through complete oracle focus cycle with cp(each);BackTab through reverse cycle with cp(each)	All visible and zero-area focus stops; borders and footer hints	workbench.rs:99,1208;app.rs:558	focus/panel/footer
TP-018	Explorer lazy expand	ALL	W	Right;cp(expanded_public_navigation);End;cp(lazy_audit_selected);Right;cp(expanding);ticks(1);cp(loading);ticks(2);cp(loaded);Left;cp(collapsed);Home;End;PageUp;PageDown;cp(boundary)	Lazy hierarchy, icons, metadata, load frames and scroll boundaries	workbench.rs:133,200,332,604	tree/scrollbar
TP-019	Explorer filter refresh schema	ALL	W	/;type(orders);cp(filtered);Esc;cp(cancelled);/;type(zzzz_no_match);cp(empty);Esc;0;r;cp(refreshed);activate(schema audit);cp(schema_changed)	Filter restoration, refresh status and schema activation	workbench.rs:604;app.rs:779	input/tree
TP-020	Explorer open keyboard	ALL	W	Down*5;Enter;cp(orders);Down;Right*2;End;cp(grid_moved)	Orders tab selection, breadcrumb, primary grid focus and cursor	app_tests.rs:165	tree/grid/tabs
TP-021	Explorer preview promotion	ALL	W	click(orders explorer object);cp(preview);click(customers explorer object);cp(replaced_preview);click(customers explorer object);cp(promoted);click(orders explorer object);cp(new_preview)	Single-click preview reuse; second same-object click promotes; pinned tab persists	workbench.rs:428,968	tree/tabs/identity
TP-022	Explorer drawer	80x24,100x30,101x30,102x30	W	cp(explorer);Ctrl+T;cp(editor);0;cp(reopened);Tab until query editor;cp(closed);Ctrl+B;cp(hidden);Ctrl+B;cp(shown)	Drawer threshold terminal width 102; preserved hidden focus stop and full-width body	workbench.rs:1208;app_tests.rs:732	layout/focus
TP-023	Workbench maximize	ALL	Q(SELECT * FROM orders LIMIT 5)	z;cp(editor_max);Esc;Ctrl+R;ticks(7);focus(result grid);z;cp(results_max);Esc;cp(restored);0;z;cp(explorer_max_case)	Pane-dependent maximize, explorer visibility and Esc restoration	app.rs:708,779	split/layout/focus
TP-024	Tab cycling overflow	ALL	W	Ctrl+T repeated 18 times;cp(overflow);[;cp(previous);];cp(next);focus(tab strip);Home;End;Left;Right;cp(strip_navigation);Ctrl+W;cp(closed)	Overflow glyphs, active/cursor, stable state and close focus	app_tests.rs:573;app.rs:625,729	tabs/identity/focus
TP-025	Tab list picker	ALL	W	Ctrl+T repeated 18 times;Ctrl+G;cp(picker);type(Query 2);cp(filtered);Enter;cp(switched);Ctrl+G;Delete;cp(deleted);Esc;cp(restored)	Search, delete, active markers, focus restore; preserve oracle close semantics	app.rs:1283,1444,1546	picker/tabs
TP-026	No tabs	ALL	W	Ctrl+W until tab count zero;cp(empty);Ctrl+T;cp(new)	No open tabs empty copy; explorer and new-query paths remain reachable	workbench.rs:501,1277	empty/tabs
TP-027	Grid traversal and scroll	ALL	T	Down;Right;PageDown;cp(middle);Ctrl+End;cp(bottom_right);Down;Right;cp(clamped);Ctrl+Home;cp(top_left);Home;End;cp(column_edges)	Row/column cursor, scroll offsets, sticky headers, scrollbar, fades and no overscroll	src/widgets/grid.rs:995;workbench.rs:778	grid/scroll
TP-028	Grid mouse scroll drag	ALL	T	hover(order_number header);cp(header_hover);wheelDown(grid)*12;cp(vscroll);wheelRight(grid)*12;cp(hscroll);drag(vertical scrollbar thumb,bottom);cp(bottom);drag(horizontal scrollbar thumb,right);cp(right)	Mouse wheel axis and thumb hit regions preserve cursor/selection	workbench.rs:1138,1163;src/widgets/grid.rs:1240	grid/scrollbar/hit
TP-029	Grid selection and copy	ALL	T	Down;Space;Down;Space;cp(selected);Shift+Down*3;cp(range);y;cp(copy);Y;cp(copy_headers);Esc;cp(cleared)	Multi-row/range selected tones, copy character status and Esc clearing	src/widgets/grid.rs:995,1065,1124	grid/selection
TP-030	Grid sort tri-state	ALL	T	focus(grid);Right; s;cp(ascending);s;cp(descending);s;cp(cleared);click(order_number header);cp(mouse_sorted);S;cp(clear_sort)	Stable row data reorder, header markers and exact statuses	app_tests.rs:193;workbench.rs:778	grid/model
TP-031	Grid inline edit commit cancel	ALL	T	cell(1,currency);Enter;Ctrl+L;cp(editing);paste(PARITY-订单);cp(draft);Esc;cp(cancelled);Enter;Ctrl+L;paste(PARITY-订单);Tab;cp(committed_next);BackTab;cp(previous_source_focus); separate fresh T at each ALL size: cell(1,currency);click-cell(1,currency);cp(current_cell_click_edit);Esc;Left;click-cell(1,currency);cp(different_cell_click_move);click-cell(1,currency);cp(repeated_cell_click_edit);Esc	Short currency cell edit snapshot/cancel, UTF-8 cursor and dirty bytes; Tab/BackTab exact source next-cell/focus behavior; explicit current/different/repeated completed-click outcomes; original long notes behavior retained in TP-037	src/widgets/grid.rs:930;app_tests.rs:609;src/widgets/grid.rs:1213-1235,1300-1345	grid/input/identity
TP-032	Grid typed cells and nullability	ALL	T	cell(1,id);Enter;cp(primary_key);cell(1,total_amount);Enter;paste(not-a-number);Enter;cp(invalid_number);Esc;cell(1,status);Delete;cp(null_request)	Read-only/key treatment and type/nullability feedback exactly oracle	src/widgets/grid.rs:530,1085;tabs.rs:388	grid/validation
TP-033	Grid insert duplicate delete undo	ALL	T	+;cp(inserted);Alt+D;cp(duplicated);-;cp(deleted);u;cp(undo_delete);u;cp(undo_duplicate);u;cp(undo_insert)	Default/auto cells, counts, stable row identity and undo sequence	app_tests.rs:266;src/widgets/grid.rs:659,724,1122	grid/model
TP-034	Grid pending save preview	ALL	T	cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;p;cp(sql_preview);Esc;Ctrl+S;cp(save_gate);focus(acknowledgement);Enter;type(orders);Enter;cp(armed);focus(Save);Enter;cp(saving);ticks(4);cp(still_pending);ticks(1);cp(saved);Ctrl+Y;cp(history_entry)	Exact UPDATE public.orders SET currency = 'PARITY-1', facts/token, pending count clears and RowEdits history; original long notes behavior retained TP-037	app_tests.rs:609;app.rs:987,1113,1155	dialog/grid/history
TP-035	Grid mixed SQL and delete save	ALL	T	cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;+;Alt+D;-;p;cp(mixed_preview);Esc;Ctrl+S;cp(delete_review);Esc;cp(pending_preserved)	Update/insert/delete ordering, escaping, destructive title and Cancel; edit setup uses short currency source, not long notes viewer (retained TP-037)	model.rs:12,959;app.rs:987	grid/dialog/domain
TP-036	Grid discard refresh	ALL	T	cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;F5;cp(refresh_gate);Esc;cp(kept);U;cp(discard_gate);focus(Discard);Enter;cp(discarded);F5;cp(refreshed)	Dirty refresh gating, discard restoration, focus and footer; edit setup uses short currency source, not long notes viewer (retained TP-037)	workbench.rs:778;app.rs:1797	grid/dialog
TP-037	Grid viewer and foreign key	ALL	T	cell(1,organization_id);Ctrl+];cp(reference_target);Ctrl+O;type(events);Enter;cell(1,properties);Enter;cp(json_viewer);PageDown;cp(viewer_scroll);Esc;cp(focus_restored); separate fresh T at each ALL size: cell(1,notes);cp(notes_keyboard_selected);click-cell(1,notes);cp(notes_actual_click);Enter;cp(notes_actual_enter);paste(PARITY-1);cp(notes_paste_no_mutation);Esc	Reference table filtered by id; formatted JSON/code viewer and scrolling; long notes actual click/Enter branch preserved: at120x40 registered partial hit is unroutable and click inert then Enter opens viewer; each other size freezes its exact locate/clip outcome; notes paste never invents inline pending edits	workbench.rs:818;app.rs:385,2485;src/widgets/grid.rs:570-578,1213-1235,1300-1345;db.rs:489-503,1010	grid/dialog/code
TP-038	Grid fetch-more cap	ALL	T	G;cp(fetch_row);Enter;cp(fetch_status);Down;cp(bottom_boundary)	Demo cap message, loading clears, no phantom rows or loop	workbench.rs:799;src/widgets/grid.rs:1049	grid/pagination
TP-039	Filter create edit cancel	ALL	T	Ctrl+F;cp(filter);focus(Value);Enter;type(1);Tab;click(Add filter);cp(chip);click(chip label);cp(edit);focus(Value);Enter;Ctrl+L;paste(2);Tab;click(Cancel);cp(original);click(chip label);focus(Value);Enter;Ctrl+L;paste(2);Tab;click(Update filter);cp(updated)	Column default from cursor, update identity, cancellation and rows; field Tab commits without applying, button Add/Cancel/Update executes while Filter is still open; field Enter applies immediately as separately retained TP-040 source branch	app.rs:1372,1657,1747;app.rs:237-246,1657-1785	filter/select/input/chips
TP-040	Filter operators types	ALL	T	Ctrl+F;select(Column,total_amount);select(Operator,between);cp(between);focus(Value);Enter;Ctrl+L;paste(10);Tab;focus(and);Enter;Ctrl+L;paste(20);cp(upper_paste_ignored);type(20);cp(upper_typed);Tab;click(Add filter);cp(ranged);Ctrl+F;select(Column,status);select(Operator,is NULL);cp(no_value);click(Add filter);cp(null_filter); separate fresh T: Ctrl+F;select(Column,total_amount);select(Operator,between);focus(Value);replace(10);cp(lower_enter_applied_early)	Operator ranking and second/no-value fields; upper-field bracketed paste consumed without insertion while lower draft remains10; typed20 produces upper bound; SQL/preview and range exact; separate lower replace(10) Enter applies early with empty upper bound and closes Filter	tabs.rs:42;app.rs:2345;app.rs:237-246,1657-1785	select/form/filter
