id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship
A01	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3 / A,J	Separate update and draw; props borrow configuration and state stays caller-owned	accepted	18afddd2;7899678d	crates/tui/src/components;apps	retain_and_verify	Compile borrowed phase calls and external state ownership; no model data stored in props	architecture;external examples	TASK-010;TASK-065	docs/refactoring-plan/historical-obligations.tsv:2	global semantic anchor; supplemental clauses retained
A02	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3,§5 / J	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection	accepted	18afddd2;11b0d687	runtime;components;apps	retain_and_strengthen_proof	Repeated production draw preserves semantic state and effects including callbacks/interior mutability	draw-purity;Holla independent draw review	TASK-031;TASK-065	docs/refactoring-plan/historical-obligations.tsv:3	global semantic anchor; supplemental clauses retained
A03	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3 / J	Derived caches runtime-owned and keyed by Id/type plus size/theme/source generation	accepted	7899678d	ui;runtime	retain_and_verify	Invalidate stale derived facts without hiding durable state in caches	cache invalidation;resize;repeated draw	TASK-010;TASK-067	docs/refactoring-plan/historical-obligations.tsv:4	global semantic anchor; supplemental clauses retained
A04	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §6 / C,J	Response flow, invalidation and typed semantic action are independent	accepted	18afddd2	response.rs	retain_and_verify	Boundary wheel consumes without repaint; actions retain identity	response unit tests;scroll boundary	TASK-010	docs/refactoring-plan/historical-obligations.tsv:5	global semantic anchor; supplemental clauses retained
A05	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §6,§25	Only Response<()> may fold; preserve first present id and strongest invalidation	accepted	7899678d	response.rs	retain_and_verify	Compile-fail action-bearing fold; unit merge laws	trybuild;response laws	TASK-010	docs/refactoring-plan/historical-obligations.tsv:6	global semantic anchor; supplemental clauses retained
A06	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §7 / B,J,§25	Stable namespaced ItemKey identity independent of visible index	accepted	18afddd2;7899678d	id;collections;app adapters	retain_and_verify	Reorder/insert/delete/filter/sort must not retarget selection/edit/close	identity property tests	TASK-015;TASK-020	docs/refactoring-plan/historical-obligations.tsv:7	global semantic anchor; supplemental clauses retained
A07	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §7,§25	Id structural equality/order/hash and duplicate diagnostics; no claimed mathematical collision prevention	accepted	7899678d	id;runtime registry	retain_and_verify	Derived-id corpus and duplicate diagnostics	id unit tests;external const patterns	TASK-010	docs/refactoring-plan/historical-obligations.tsv:8	global semantic anchor; supplemental clauses retained
A08	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	One runtime owns focus registration, traversal, restoration, hover, pressed/capture and cursor	accepted	18afddd2	runtime;focus;hit;apps	retain_and_verify	Remove app duplicates while reproducing oracle behavior	architecture boundary;four-app interactions	TASK-010	docs/refactoring-plan/historical-obligations.tsv:9	global semantic anchor; supplemental clauses retained
A09	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Hit priority highest layer then latest registration; decoration does not receive control input	accepted	7899678d	hit;runtime	retain_and_verify	Overlap/layer/decorative negative probes	runtime hit tests	TASK-010	docs/refactoring-plan/historical-obligations.tsv:10	global semantic anchor; supplemental clauses retained
A10	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73	Disabled top hit absorbs all activating pointer input without lower fallthrough	accepted	7763d50;b0ad014	runtime;focus	proof_gap	Add direct overlapping enabled lower/disabled upper runtime proof	disabled activation;overlap test	TASK-010	docs/refactoring-plan/historical-obligations.tsv:11	global semantic anchor; supplemental clauses retained
