id	world	sizes	actions	checkpoints	components	source
JA-001	first-use,returning,accounts-mixed,launch-running,launch-failure,capsule-multi,outro-last,hard-cases	80x24,100x30,120x40,160x50	fresh(each world,Paused,0); draw; T(5)	Initial route/full cells/cursor; paused frames unchanged; all eight worlds	shell,brand,collections,panes,meters	scenario.rs:5;app.rs:201
JA-002	first-use	80x24,100x30,120x40,160x50	variant frame=0,45,P1_LEN-1,P1_LEN,P1_LEN+P2_LEN,KNOCK_START,KNOCK_START+1,WARP_START,WARP_START+1,INTRO_END-1; fresh(first-use,Paused,frame)	Typed text, glitch glyphs, caption, warp and final phase exact; fixed seed	brand,scheduler,clipping	rain.rs:475-643;app_tests.rs:139
JA-003	first-use	80x24,120x40	fresh(first-use,Full,0); K(Enter); T(45); K(Enter,Enter); reset; replay(first_use_plays_intro_then_manager_and_no_replay_when_returning)	Guard prevents stale skip; phase skip then manager; returning never replays ritual	runtime,input,scheduler	app.rs:505;app_tests.rs:115
JA-004	first-use	80x24,120x40	fresh(first-use,Reduced,0); T(3); K(Enter); reset; fresh(first-use,Full,0); K(Ctrl-C)	Reduced static boundary and manager; Ctrl-C releases entry claim and quits	runtime,brand	app_tests.rs:139;app.rs:505
JA-005	returning	80x24,100x30,120x40,160x50	K(Home,Right,Down,Tab,Esc); K(*,-,End,Home); variant K(j,k,l,h,g,G,PageDown,PageUp)	Workspace/instance/session tree selection, expand/collapse, detail focus, top/middle/bottom and scroll limits	tree,list-detail,focus,scrollbar	screens/manager.rs:1889;app_tests.rs:158
JA-006	returning	80x24,100x30,120x40,160x50	click(workspace payments-platform); double-click(workspace payments-platform); click(instance 7f3a); wheel(tree,3); wheel(detail,3); drag(manager seam,4 cells right); drag(manager seam,4 cells left)	Pointer hitboxes, action activation, scroll routing, split proportions and constraints	tree,splitter,hit registry	screens/manager.rs:on_click,on_double_click,on_drag,on_wheel
JA-007	returning	80x24,120x40	variant select(Current directory),select(payments-platform),select(running instance),select(stopped instance),select(pane),select(+ New workspace); K(Enter)	Each row activation reaches its oracle route/dialog or refusal; chosen domain identity preserved	tree,picker,dialog	screens/manager.rs:activate
JA-008	returning,first-use	80x24,120x40	variant select(workspace); K(e),K(d,Esc),K(w),K(o); for delete-confirm variant confirm destructive choice; T(20)	Edit route; delete guard/pending removal; prewarm status; GitHub selection/status; exact in-memory effect	buttons,dialog,picker,status	screens/manager.rs:1787-1882
JA-009	returning	80x24,120x40	variant select(instance); K(n),K(a),K(x),K(i),K(t,Esc),K(p,Esc),K(r); separate fresh confirmed stop/purge variants	Session picker, shell, inspect, stop/purge confirmation, reconnect/restore; status-specific enabled actions	picker,dialog,inspect	screens/manager.rs:1829-1882
JA-010	hard-cases	80x24,100x30,120x40,160x50	fresh(hard-cases,Reduced,0); K(F5); T(60); K(End,PageUp,Home); wheel(tree,100); wheel(tree,-100)	Discovery failure keeps last-good rows; long names, many rows, missing daemon, scroll edge clipping	tree,status,scrollbar	screens/manager.rs:1770;domain/fixtures.rs
JA-011	returning	80x24,120x40	replay(manager_launch_picker_hides_agents_without_an_account); variant choose agent with one account,with multiple accounts,with no valid account; Escape each nested picker	Unavailable agent filtering, account defaults/preferences, cancellation keeps selection and no launch effect	picker,focus,overlay	app_tests.rs:1110;domain/workspace.rs
