source_namespace	source_id	task_id	requirement_id	acceptance_id	check_id	role	disposition
COMP	runtime-session-time	TASK-009	R-001	AC-001	CHK-004	primary	Terminal session cleanup, normalized input, bootstrap and monotonic deadlines match the oracle without widening color capability.
COMP	event-response	TASK-009	R-001	AC-001	CHK-004	primary	Terminal session cleanup, normalized input, bootstrap and monotonic deadlines match the oracle without widening color capability.
ARCH	A06	TASK-009	R-002	AC-002	CHK-006	preservation	Keep optional backend normalization at the terminal boundary; pure Theme/Runtime/Scene constructors do not read environment. Preserve Moment, monotonic advance_to, independent feedback versus simulation and public ColorLevel::narrow_to.
ARCH	A12	TASK-009	R-002	AC-002	CHK-006	preservation	Keep optional backend normalization at the terminal boundary; pure Theme/Runtime/Scene constructors do not read environment. Preserve Moment, monotonic advance_to, independent feedback versus simulation and public ColorLevel::narrow_to.
ARCH	A30	TASK-009	R-002	AC-002	CHK-006	preservation	Keep optional backend normalization at the terminal boundary; pure Theme/Runtime/Scene constructors do not read environment. Preserve Moment, monotonic advance_to, independent feedback versus simulation and public ColorLevel::narrow_to.
DEC	ADJ-03	TASK-009	R-002	AC-002	CHK-006	preservation	Apply ADJ-03 fixed decision and its positive/negative evidence without reviving its rejected alternative.
COMP	focus-hit-capture	TASK-010	R-001	AC-001	CHK-004	primary	Published focus, capture and typing ownership reproduce oracle event trajectories.
ARCH	A03	TASK-010	R-002	AC-002	CHK-006	preservation	Keep one runtime ring/dispatch/presentation authority; input and draw use the same controlled props and allocation. Pending input is delivered only against successfully published geometry. Ui::reference alone suppresses every registration while forcing only exact-target runtime presentation flags.
ARCH	A05	TASK-010	R-002	AC-002	CHK-006	preservation	Keep one runtime ring/dispatch/presentation authority; input and draw use the same controlled props and allocation. Pending input is delivered only against successfully published geometry. Ui::reference alone suppresses every registration while forcing only exact-target runtime presentation flags.
ARCH	A07	TASK-010	R-002	AC-002	CHK-006	preservation	Keep one runtime ring/dispatch/presentation authority; input and draw use the same controlled props and allocation. Pending input is delivered only against successfully published geometry. Ui::reference alone suppresses every registration while forcing only exact-target runtime presentation flags.
