path	disposition	owner_tasks	notes
.DS_Store	exclude_binary_noise		no semantic credit; inventory byte binding only
tests/baselines/jackin.txt	preserve_historical_baseline	TASK-004;TASK-008;TASK-066	legacy perf baseline text; not immutable oracle receipt
tests/baselines/tablepro.txt	preserve_historical_baseline	TASK-005;TASK-008;TASK-066	legacy perf baseline text; not immutable oracle receipt
tests/choice_containment.rs	preserve_oracle_conflict_disposition	TASK-008;TASK-018	holla-only integration test; TASK-007/008 identity disposition
tests/focus_gutter.rs	preserve_oracle_conflict_disposition	TASK-008;TASK-021	holla focus gutter; conflicts modern viewport policy per branch partition
tests/holla_pty.rs	preserve_oracle_conflict_disposition	TASK-003;TASK-008;TASK-050	holla PTY integration; app closure owned by TASK-050
tests/perf.rs	preserve_mechanism_reconcile	TASK-067;TASK-008;TASK-073	root perf harness; TASK-067 owns accepted workload membership
tests/perf_baseline.txt	preserve_historical_baseline	TASK-067;TASK-008	legacy baseline artifact; not fresh acceptance receipt
tests/perf_common.rs	preserve_mechanism_reconcile	TASK-067;TASK-008	shared perf helpers substrate for TASK-067
tests/showcase_baseline.txt	preserve_historical_baseline	TASK-002;TASK-008;TASK-066	historical showcase baseline text
tests/terminal_suspend.rs	preserve_oracle_conflict_disposition	TASK-009;TASK-008;TASK-050	holla terminal suspend integration
tools/__pycache__/ansi2html.cpython-314.pyc	exclude_generated_cache		no source credit; byte binding only
tools/baseline_capture.sh	preserve_archive_route	TASK-003;TASK-070;TASK-069	historical capture route; qualified capture supersedes for acceptance
tools/qualified-capture/harness/Cargo.lock	preserve_pin_metadata	TASK-070;TASK-001	lockfile pin for qualified harness; integrity tests cover membership
tools/qualified-capture/licenses/tui-snap-LICENSE	preserve_provenance	TASK-070;TASK-001	license pin artifact; not executable semantics
tools/qualified-capture/licenses/tui-test-LICENSE	preserve_provenance	TASK-070;TASK-001	license pin artifact
tools/qualified-capture/licenses/vt100-LICENSE	preserve_provenance	TASK-070;TASK-001	license pin artifact
tools/qualified-capture/proof/clean-metadata.json	preserve_archival_receipt	TASK-070	self-recorded clean metadata; not current host boundary
tools/qualified-capture/proof/cursor-independent-review/SHA256SUMS	preserve_archival_receipt	TASK-070	review checksum artifact; not fresh acceptance
tools/qualified-capture/proof/cursor-review.md	preserve_archival_receipt	TASK-070	historical review prose; not executable authority
tools/qualified-capture/proof/cursor-review.sha256	preserve_archival_receipt	TASK-070	review checksum sidecar
tools/qualified-capture/proof/final-test-identities.json	preserve_archival_receipt	TASK-070;TASK-007	self-reported test identity snapshot; TASK-007 owns reconciliation
tools/qualified-capture/proof/final-tool-gates.json	preserve_archival_receipt	TASK-070;TASK-001	self-reported gate snapshot; not host proof
tools/qualified-capture/proof/full-0.log	preserve_archival_receipt	TASK-070	captured run log; not rerun credit
tools/qualified-capture/proof/full-1.log	preserve_archival_receipt	TASK-070	captured run log
tools/qualified-capture/proof/full-2.log	preserve_archival_receipt	TASK-070	captured run log
tools/qualified-capture/proof/full-3.log	preserve_archival_receipt	TASK-070	captured run log
