scenario_id	previous_primary	primary_owner	complete_reached_surface_or_domain	primary_source_evidence	closure_reason	retained_assertion_rule
HO-BASE-01	TASK-050	TASK-041	Initial first-use Here/Finder only; no action is invoked. TASK-041 supplies exact initial Finder data and presentation.	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	Initial first-use Here/Finder only; no action is invoked. TASK-041 supplies exact initial Finder data and presentation.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-02	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-03	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-04	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-05	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-06	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-07	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-08	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-09	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-10	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
