parent_scenario	contribution_id	task_owner	checkpoint	state_keys	source_clause	exact_assertions	required_for_closure	fixture
TP-005	TFLOW-C58-005	TASK-058	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	selected_connection_id;connection_stage;connection_progress;connection_error;connection_result_id;route;workbench_connection_id	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125	All intermediate connection stages match; tick12 produces Workbench with the same saved connection identity. cp(connected) remains a complete TASK-061 requirement.	true	intact-parent
TP-016	TFLOW-C58-016	TASK-058	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	connection_records;selected_connection_id;saved_connection_id;connection_stage;route;workbench_connection_id	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:689	Save creates exactly the oracle connection record and one connection job; tick12 selects the same Workbench connection without an external DB effect. cp(workbench) remains TASK-061.	true	intact-parent
TP-026	TFLOW-C59-026	TASK-059	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	tab_ids;active_tab_id;focus_owner;query_counter;new_query_request;new_query_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:501,1277	No-tabs state has no stale tab/focus; Ctrl+T creates the same new Query identity and initial text and requests its real editor focus. cp(new) remains complete TASK-061 proof.	true	intact-parent
TP-046	TFLOW-C61-046	TASK-061	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	editor_text;editor_caret;editor_selection;undo_stack_depth;route;active_tab_id;history_open_request	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1333;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:584	Selection, paste and undo are exact; Ctrl+Y follows the oracle global History route rather than an invented redo binding. History composition remains TASK-063.	true	intact-parent
TP-050	TFLOW-C61-050	TASK-061	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	batch_statements;statement_frontier;result_anchor_ids;result_statuses;execution_error;history_entries;active_tab_id	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1028,1099;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:818	Seven/five tick sequencing, first-error stop and absence of third result/history match oracle; history records are checked before opening its UI. cp(history) remains complete TASK-063 proof.	true	intact-parent
TP-027	TFLOW-C60-027	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	Row/column cursor, scroll offsets, sticky headers, scrollbar, fades and no overscroll. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-028	TFLOW-C60-028	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1138,1163;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1240	Mouse wheel axis and thumb hit regions preserve cursor/selection. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-029	TFLOW-C60-029	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995,1065,1124	Multi-row/range selected tones, copy character status and Esc clearing. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-030	TFLOW-C60-030	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:193;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	Stable row data reorder, header markers and exact statuses. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-031	TFLOW-C60-031	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing; restart the same accepted post-preset-T seed for each separate fresh-T click/notes variant; every added source checkpoint is included	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:930;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Short currency cell edit snapshot/cancel, UTF-8 cursor and dirty bytes; Tab/BackTab exact source next-cell/focus behavior; explicit current/different/repeated completed-click outcomes; original long notes behavior retained in TP-037. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-032	TFLOW-C60-032	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530,1085;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388	Read-only/key treatment and type/nullability feedback exactly oracle. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-033	TFLOW-C60-033	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:659,724,1122	Default/auto cells, counts, stable row identity and undo sequence. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-035	TFLOW-C62-035	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/model.rs:12,959;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Update/insert/delete ordering, escaping, destructive title and Cancel; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-036	TFLOW-C62-036	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1797;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Dirty refresh gating, discard restoration, focus and footer; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-037	TFLOW-C60-037	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing; restart the same accepted post-preset-T seed for each separate fresh-T click/notes variant; every added source checkpoint is included	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:385,2485;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Reference table filtered by id; formatted JSON/code viewer and scrolling; long notes actual click/Enter branch preserved: at120x40 registered partial hit is unroutable and click inert then Enter opens viewer; each other size freezes its exact locate/clip outcome; notes paste never invents inline pending edits. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T; post-Ctrl+O/events/Enter (separate JSON-viewer suffix fixture)
TP-038	TFLOW-C60-038	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:799;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1049	Demo cap message, loading clears, no phantom rows or loop. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-039	TFLOW-C60-039	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;filter_editor_drafts;filter_editor_editing;filter_preview_sql	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1372,1657,1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	Column default from cursor, update identity, cancellation and rows; field Tab commits without applying, button Add/Cancel/Update executes while Filter is still open; field Enter applies immediately as separately retained TP-040 source branch. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-040	TFLOW-C60-040	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing; restart accepted post-preset-T for the separate lower-Enter early-apply variant	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;filter_editor_drafts;filter_editor_editing;filter_preview_sql	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:42;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:2345;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	Operator ranking and second/no-value fields; upper-field bracketed paste consumed without insertion while lower draft remains10; typed20 produces upper bound; SQL/preview and range exact; separate lower replace(10) Enter applies early with empty upper bound and closes Filter. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-041	TFLOW-C60-041	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;filter_editor_drafts;filter_editor_editing;filter_preview_sql	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	Exact source coercion: nonempty not-number is accepted into the filter rather than rejected by a new validator; no-results and clear restore; field Tab retains modal until explicit Add. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
