family	reference_implementation	main_implementation	architectural_target	visual_status	interaction_status	api_refactor_status	tests_available	tests_missing	proposed_owner	owning_task_ids
identity	O:src/core/id.rs	M:crates/tui/src/id.rs;collection/key.rs	Stable Id ItemKey ColumnKey and typed PartRef	unverified	unverified under reorder	implemented; positional custom author example remains	M:grid_keyed_cursor.rs; component keyed tests	External author insert/delete/reorder duplicate labels and stable semantic identity	foundation-api;public-cleanup	TASK-006;TASK-015
event-response	O:src/core/event.rs	M:crates/tui/src/event.rs;intent.rs;response.rs;action.rs	Input to typed Intent; Response flow/invalidation/actions	unverified	boundary and activation source differences need proof	implemented; verify	M:activation_origin.rs;publication.rs;typing_owner.rs;compile-fail response fixtures	Oracle consume/change distinctions and action count per exact event sequence	runtime-input	TASK-006;TASK-009
focus-hit-capture	O:src/core/focus.rs;hit.rs;O:src/bin/showcase/app.rs:634	M:crates/tui/src/focus.rs;hit.rs;capture.rs;runtime.rs	Runtime-owned focus ring hit publication and capture	unverified	field Press/FocusIn versus completed click differs	implemented; interaction needs migration	M:focus_traversal.rs;focus_restoration.rs;pointer_capture_eligibility.rs;pointer_publication.rs	CP-02 Down-only/release-outside; disabled barriers; reparent/resize freshness	runtime-input	TASK-006;TASK-010
runtime-session-time	O:src/runtime.rs	M:crates/tui/src/runtime.rs;runtime/session.rs;runtime/time.rs;runtime/feedback.rs	App update/draw runtime; separate simulation and feedback clock; optional backend	unverified	unverified	implemented; verify	M:terminal_cleanup.rs;feedback_clock.rs;monotonic.rs;terminal session units	Oracle full PTY lifecycle suspend/resume and cancellation; idle and flood fairness	foundation-api;runtime-input	TASK-006;TASK-009
layout-measure	O:src/ui/layout.rs;popup.rs	M:crates/tui/src/layout.rs;measure.rs;ui/cx.rs	Pure layout/measure and current LayoutFacts	unverified	resize metadata freshness unverified	implemented; verify	M:split_seam_geometry.rs;grid_column_fit.rs;component tiny clipping tests	Nonzero origin and 0/1 extents; resize threshold transitions; first-frame position labels	foundation-api;chrome	TASK-006;TASK-012
theme-paint	O:src/theme.rs;ui/text.rs	M:crates/tui/src/theme/*;ui/paint.rs;author.rs	Semantic recipes surfaces glyphs capability palettes patches and slots	unverified; fade absent	state emphasis unverified	implemented; needs oracle fade integration	M:overrides.rs;capability_palettes.rs;theme_holla_states.rs;independent_paint_carrier.rs	CP-COMMON all families all color levels actual cells; CP-SCROLL-FADE	theme-paint	TASK-006;TASK-011
text-core	O:src/core/text.rs;ui/text.rs;widgets/field_common.rs	M:crates/tui/src/text/*	Shared grapheme-safe editable text measurement fuzzy matching	split styled graphemes differ in viewport	editing modifier/copy behavior unverified	implemented; borrowed projection semantics incomplete	M:keyboard_editor.rs;fuzzy_boundary.rs;paint_middle.rs;paint_matched.rs	CP-TEXT-OUTPUT cross-style graphemes tabs controls copy; field modifier matrix	text-core	TASK-006;TASK-013
scroll-state-region	O:src/core/scroll.rs;widgets/scrollbar.rs;ui/fade.rs	M:crates/tui/src/scroll.rs;components/scroll_region.rs	Single scroll model and owner-keyed ScrollRegion plus reusable fade painter	missing CP-01 fades	shared truthful boundary/drag present; oracle proof needed	implemented; fade missing	M:scrollbar_full_track.rs;scroll_region::thumb_drag_preserves_the_grab_offset;O:core/scroll.rs tests	CP-SCROLL-FADE; exact track endpoints/grab offset; no boundary chaining/focus movement	scroll-parity	TASK-006;TASK-014
layers-popups	O:src/ui/popup.rs;widgets/dialog.rs;menu.rs;select.rs	M:crates/tui/src/layer.rs;ui/layer_buf.rs;runtime.rs	Runtime layer stack anchor size backdrop capture focus restoration	unverified	unverified modal routing/dismissal	implemented; verify	M:overlay.rs;layer_focus_reparent.rs;dialog_navigation.rs	Modal-first paste; nested Esc/outside capture; relocation after resize; exact backdrops	runtime-input;overlays	TASK-006;TASK-017
collection-core	O:src/widgets/list.rs;tree.rs;table.rs;grid.rs independent owned collections	M:crates/tui/src/collection/*	Borrowed keyed sources; shared reconciliation; constrained RowUi CellUi	CP-06 explicit row-part override channel incomplete	source identity/reorder proof incomplete	implemented core; row override migration required	M:perf_collections.rs;list_row_renderer.rs;tree_row_renderer.rs;grid_cell_renderer.rs	CP-06 custom part/column actual-cell precedence; every dynamic caller stable keys; visible-only callbacks; source mutation invalidation	collections;theme-paint	TASK-006;TASK-015
button	O:src/widgets/button.rs	M:crates/tui/src/components/button.rs	Controlled Button typed command runtime states	unverified	unverified	implemented; verify	M:button.rs units;showcase_buttons.rs;render_components.rs;conformance.rs	CP-COMMON; exact click/keyboard activation and disabled/autofocus readiness	chrome	TASK-006;TASK-027
brand	O:src/widgets/brand.rs	M:crates/tui/src/components/brand.rs	Static or click-only Brand with label/meta parts	unverified	unverified	implemented; verify	M:brand.rs five units;render_components.rs;conformance.rs	Oracle lockup padding/glyphs all modes clickable versus static	chrome	TASK-006;TASK-027
checkbox-toggle	O:src/widgets/choice.rs	M:crates/tui/src/components/choice.rs	Controlled Checkbox and Toggle values	unverified	unverified	implemented; verify	M:choice.rs controlled-value/disabled units;O:tests/choice_containment.rs	Controlled values never replaced by focus; exact pointer containment all sizes	fields-edit	TASK-006;TASK-018
radio-group	O:src/widgets/choice.rs	M:crates/tui/src/components/choice.rs	Borrowed keyed RadioGroup separate cursor and chosen value	unverified	unverified	implemented; verify	M:radio_group_separates_cursor_from_value;radio_choose_action_uses_the_items_stable_key	Oracle choose/navigation and disabled row containment; CP-COMMON	fields-edit;collections	TASK-006;TASK-018
chips	O:src/widgets/chips.rs	M:crates/tui/src/components/chip.rs	Keyed borrowed ChipBar; controlled checked state; row renderer	unverified	unverified	implemented; verify	M:chip.rs fourteen units;render_components.rs;conformance.rs	Exact overflow/close/add/checked behavior under reorder and narrow strip	collections	TASK-006;TASK-020
field-chrome	O:src/widgets/input.rs;textarea.rs;select.rs field chrome	M:crates/tui/src/components/field.rs;field_control.rs	Field chrome only; one child Id and focus stop	unverified	unverified	implemented; verify	M:field::a_reference_field_registers_no_control;conformance.rs	Field label/help/error and child pointer geometry; no second focus stop	fields-edit	TASK-006;TASK-016
text-input	O:src/widgets/input.rs:250	M:crates/tui/src/components/input.rs:1181	Caller value/draft lifecycle with explicit navigation and edit modes	unverified editing style	CP-02 FocusIn/Press behavior differs	implemented; behavioral migration required	M:input.rs lifecycle/secret tests;input_placeholder.rs;keyboard_editor.rs;O:one_click_enters_editing_at_the_pointer_and_a_disabled_field_ignores_it	CP-02 keyboard focus navigation; completed click cursor; masked grapheme hit mapping	fields-edit	TASK-006;TASK-016
text-area	O:src/widgets/textarea.rs:177	M:crates/tui/src/components/textarea.rs:885	Shared TextEditorCore caller value and multiline draft lifecycle	missing fade; edit state unverified	CP-02 FocusIn auto-edit differs	implemented; behavioral migration required	M:textarea.rs lifecycle/secret/readiness units;conformance.rs	CP-02; multiline cursor/selection/blur; CP-SCROLL-FADE	fields-edit	TASK-006;TASK-016
