id	source	revision	decision_or_requirement	authority_status	acceptance_or_amendment_evidence	implementation_evidence	files_or_families	current_main_status	remaining_obligation	verification_requirement	task_ids
HAR-001	docs/audit/api-audit.md:19-38;904-916;1289	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Uniform typed actions separate consumption and redraw	accepted direction via owner join	parent HI-003; STATE a156054d and J; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc;834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	Response; all handlers	unverified	No bool tuple or polled-result parallel protocol	Typed action mapping; consumed without repaint; exact cardinality	TASK-010
HAR-002	docs/audit/api-audit.md:1073-1098	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e	Focus transition lifecycle removes commit/validation/data mutation from draw	accepted direction	parent HI-001/015/032; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	editors; grid; dialogs; menu; select	unverified	Fix phase capabilities and transition delivery across all families	Headless update; shared-state draw twice; focus loss exactly once	TASK-016;TASK-031
HAR-003	docs/audit/api-audit.md:40-87;998-1004	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Stable ownership and item identity replace reverse owns/locate scans	accepted amended	parent HI-002; structural Id later acceptance; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	Id; hit; collections	unverified	Avoid positional Path and stale frame geometry	Insert/remove/reorder plus click/close/edit identity; collision-kind negative control	TASK-010;TASK-020
HAR-004	docs/audit/api-audit.md:151-194;docs/audit/app-audit.md:132-178	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;e81ca17b	Encapsulated hit/focus registration and layer ownership prevent inert bypass and manual reregistration	accepted amended	parent HI-005/012/017/041; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc;e81ca17b identify creation/publication or acceptance history, not that blob's line numbers	unread	Ui; overlays; all app modals	unverified	Replace public registry mutation and duplicate placement algorithms	Reverse registration order; nested pointer/keyboard isolation; dismissal focus restore	TASK-010;TASK-017
HAR-005	docs/audit/api-audit.md:89-114;196-207	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Scroll state invariants and Unicode text offsets need structural safe interfaces	audit finding; exact fix not accepted by this source	parent HI-006/027 for accepted scroll/paint directions; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	ScrollState; TextBuffer; fuzzy matching	unverified	Validate surviving issue class including casefold-to-original mapping	Grapheme/cell corpus; Turkish dotted I; boundary wheel; no out-of-bounds	TASK-013;TASK-014
HAR-006	docs/audit/api-audit.md:116-128	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Runtime restoration, one-shot redraw and reusable session need explicit ownership	accepted direction; hook detail finding	parent HI-008/025/029; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	runtime; terminal session	unverified	Check stacked panic hook and partial initialization/restore behavior	Deterministic deadlines; normal/error/panic restoration; repeated session entry	TASK-009
HAR-007	docs/audit/api-audit.md:130-168;1143-1162	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Contextual semantic surfaces replace raw background parameters and color-equality lift	accepted amended	parent HI-028/035/037/042/049; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc;834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	theme; Panel; every component	unverified	Inherited surface plus custom duplicate colors and light theme work	Junie oracle parity; scoped/part/state changes; no token equality inversion	TASK-011
HAR-008	docs/audit/api-audit.md:170-180;1067-1069;1166-1205	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Shared measurement and safe clipped geometry avoid tiny-rect underflow and stale interactions	accepted amended	parent HI-027/028/041; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc;834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	layout; field; grid; panel; all widgets	unverified	Preserve minima/fallback behavior through accepted integer layout	0/1-cell rects; resize disappear; no out-of-clip hit/pixels; focus survives by contract	TASK-012
HAR-009	docs/audit/api-audit.md:258-349	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Brand/chip/choice use shared presentation and roving/field mechanics	proposal homes; accepted broad dispositions	parent HI-014/021/044; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	Brand; ChipBar; Choice; Button	unverified	Map each old family explicitly; overflowing chip bar remains reachable	Full-width overflow; disabled/readonly distinctions; oracle marker/bracket geometry	TASK-018;TASK-020;TASK-027
HAR-010	docs/audit/api-audit.md:353-429;634-655;723-745	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Completion picker select menus compose overlays/collections; dialog body open	accepted amended	parent HI-012/017/047; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	Completion; Picker; Select; Menu; Dialog	unverified	Functional scrolling and typed actions; retain nontrapping Select final policy	Long option list; scrollbar drag; owner focus; nested Esc and click-outside	TASK-018;TASK-023;TASK-024
