parent_scenario	contribution_id	task_owner	exact_checkpoint_selection	axes	viewports	source_clause	required_artifact	required_for_closure	fixture
JA-022	JFLOW-F52-022	TASK-052	The complete frame immediately after K(Down,e,4,Enter), before the first edit/reference variant; every complete frame in the delete-cancel, delete-confirm-undo and role-fold variants. Exclude the reference-picker-open branch frames.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/config.rs:1201,1737,2159	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-028	JFLOW-F52-028	TASK-052	Complete frames immediately after K(s,4,Enter), Space and d, before c hands off to Accounts; complete Trust-tab frames after the explicit return to Settings and K(5,Enter,Space,o), including the preview-cancel frame.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/settings.rs:705-778	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-011	JFLOW-F53-011	TASK-053	Every complete Launch choose-Agent/account-picker frame before the activation that first enters Cockpit, including no-valid-account and cancellation variants.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1110;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/domain/workspace.rs	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-040	JFLOW-F54-040	TASK-054	Every original complete checkpoint whose oracle route is Cockpit or Handoff, from initial draw through the last Handoff checkpoint strictly before Capsule arrival. This finite selection is resolved solely from oracle Route values during baseline capture.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,100x30,120x40,160x50	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:10,241;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:179	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-043	JFLOW-F54-043	TASK-054	All original complete Cockpit/credential-modal checkpoints before the first transition to Handoff or Capsule, and all BlockedSidecar modeled-only error/dismissal checkpoints.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:79,413;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:641	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-044	JFLOW-F54-044	TASK-054	Every original complete checkpoint before any Capsule arrival, restricted to Cockpit, launch-confirmation modal, Manager, Handoff or Outro; choose all such checkpoints in each finite listed cancellation/detach variant.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:575	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-045	JFLOW-F54-045	TASK-054	Initial Cockpit frame and every complete checkpoint before the source test's first departure from Cockpit, including the checkpoint satisfying the two-account credential-line assertion.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1201	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-056	JFLOW-F55-056	TASK-055	Complete initial Capsule frame, each pane/tab close-confirmation frame and each remaining-nonempty Capsule topology frame; stop selection before any dirty-exit overlay or final lifecycle transition.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1050,1258;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/pty.rs:1525	complete schema3 frame and cursor; no cell masks	true	intact-parent
JA-058	JFLOW-F55-058	TASK-055	In detach_reconnect_and_final_exit_plays_one_outro, every complete frame from initial Capsule through detach Manager and reconnect Capsule, ending strictly before the first Ctrl-Q. Do not select any dirty-exit/outro frame.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	80x24,120x40	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:219,251	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-005	TFLOW-F58-005	TASK-058	Exactly cp(t0), cp(t3), cp(t7), cp(t11).	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-016	TFLOW-F58-016	TASK-058	Exactly cp(connecting), including the complete saved-form-to-connection frame.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:689	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-026	TFLOW-F59-026	TASK-059	Exactly cp(empty), after the bounded close loop has reached zero tabs and before Ctrl+T.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:501,1277	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-046	TFLOW-F61-046	TASK-061	Exactly cp(selection), cp(replaced), cp(undo); none of the History route frames.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1333;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:584	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-050	TFLOW-F61-050	TASK-061	Exactly cp(batch_start), cp(first_complete), cp(second_failed), cp(stopped).	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1028,1099;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:818	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-027	TFLOW-F60-027	TASK-060	Exactly every occurrence of cp(middle), cp(bottom_right), cp(clamped), cp(top_left), cp(column_edges), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-028	TFLOW-F60-028	TASK-060	Exactly every occurrence of cp(header_hover), cp(vscroll), cp(hscroll), cp(bottom), cp(right), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1138,1163;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1240	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-029	TFLOW-F60-029	TASK-060	Exactly every occurrence of cp(selected), cp(range), cp(copy), cp(copy_headers), cp(cleared), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995,1065,1124	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-030	TFLOW-F60-030	TASK-060	Exactly every occurrence of cp(ascending), cp(descending), cp(cleared), cp(mouse_sorted), cp(clear_sort), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:193;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	complete schema3 frame and cursor; no cell masks	true	post-preset-T
