source_namespace	source_id	task_id	requirement_id	acceptance_id	check_id	role	disposition
HIST	A01	TASK-010	R-002	AC-002	CHK-006	primary	Separate update and draw; props borrow configuration and state stays caller-owned Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:2.
HIST	A01	TASK-065	R-002	AC-002	CHK-006	primary	Separate update and draw; props borrow configuration and state stays caller-owned Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:2.
HIST	A02	TASK-031	R-002	AC-002	CHK-006	primary	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:3.
HIST	A02	TASK-065	R-002	AC-002	CHK-006	primary	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:3.
HIST	A03	TASK-010	R-002	AC-002	CHK-006	primary	Derived caches runtime-owned and keyed by Id/type plus size/theme/source generation Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:4.
HIST	A03	TASK-067	R-002	AC-002	CHK-006	primary	Derived caches runtime-owned and keyed by Id/type plus size/theme/source generation Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:4.
HIST	A04	TASK-010	R-002	AC-002	CHK-006	primary	Response flow, invalidation and typed semantic action are independent Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:5.
HIST	A05	TASK-010	R-002	AC-002	CHK-006	primary	Only Response<()> may fold; preserve first present id and strongest invalidation Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:6.
HIST	A06	TASK-015	R-002	AC-002	CHK-006	primary	Stable namespaced ItemKey identity independent of visible index Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:7.
HIST	A06	TASK-020	R-002	AC-002	CHK-006	primary	Stable namespaced ItemKey identity independent of visible index Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:7.
HIST	A07	TASK-010	R-002	AC-002	CHK-006	primary	Id structural equality/order/hash and duplicate diagnostics; no claimed mathematical collision prevention Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:8.
HIST	A08	TASK-010	R-002	AC-002	CHK-006	primary	One runtime owns focus registration, traversal, restoration, hover, pressed/capture and cursor Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:9.
HIST	A09	TASK-010	R-002	AC-002	CHK-006	primary	Hit priority highest layer then latest registration; decoration does not receive control input Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:10.
HIST	A10	TASK-010	R-002	AC-002	CHK-006	primary	Disabled top hit absorbs all activating pointer input without lower fallthrough Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:11.
HIST	A100	TASK-051	R-002	AC-002	CHK-006	primary	Manager/Accounts inactive message fanout remains inherent app methods, not extra universal Screen hook Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:101.
HIST	A100	TASK-053	R-002	AC-002	CHK-006	primary	Manager/Accounts inactive message fanout remains inherent app methods, not extra universal Screen hook Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:101.
HIST	A101	TASK-011	R-002	AC-002	CHK-006	primary	dim_layer zero identity; ordered semantic fade then erase; role collisions cannot drive generic reverse lookup Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:102.
HIST	A101	TASK-017	R-002	AC-002	CHK-006	primary	dim_layer zero identity; ordered semantic fade then erase; role collisions cannot drive generic reverse lookup Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:102.
HIST	A102	TASK-010	R-002	AC-002	CHK-006	primary	Registry/geometry published only after successful output; restored focus validated against publication Source disposition: accepted_later_amendment. Exact source: docs/refactoring-plan/historical-obligations.tsv:103.
