source_namespace	source_id	task_id	requirement_id	acceptance_id	check_id	role	disposition
APP	SC-BASE-overview	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-overview	TASK-037	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-overview	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-overview	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-buttons	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-buttons	TASK-033	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-buttons	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-buttons	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-inputs	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-inputs	TASK-033	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-inputs	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-inputs	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-textareas	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-textareas	TASK-033	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-textareas	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-textareas	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-forms	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-forms	TASK-033	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-forms	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-forms	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-lists	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-lists	TASK-037	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-lists	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-lists	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-trees	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-trees	TASK-037	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-trees	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-trees	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-tables	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-tables	TASK-034	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-tables	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-tables	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-editable	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-editable	TASK-034	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-editable	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-editable	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-panels	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-panels	TASK-036	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-panels	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
APP	SC-BASE-panels	TASK-069	R-001	AC-001	CHK-004	integration	replay all applications on final integrated tree
APP	SC-BASE-sidebars	TASK-002	R-001	AC-001	CHK-004	baseline	capture and seal exact oracle expansion before application repair
APP	SC-BASE-sidebars	TASK-037	R-001	AC-001	CHK-004	primary	restore exact scenario clauses through live public components
APP	SC-BASE-sidebars	TASK-039	R-001	AC-001	CHK-004	preservation	replay complete application union with zero unresolved application identities
