id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids
HM01	COMPONENT_ARCHITECTURE.md;docs/reviews/findings-from-documentation.md	70dacec1 §31;later §70	Every resolvable recipe including undeclared custom-family neutral gets readable mono semantics; test resolution not the same incomplete enumeration as production	accepted_invariant_mechanism_superseded_by_static_fallback	main §70	crates/tui/src/theme	retain_verify	Cross custom-family and mono axes including replaced empty Recipes; retain static resolver rather than append copied rules	neutral resolve focus/error/disabled; static mono proofs	TASK-011;TASK-031
HM02	COMPONENT_ARCHITECTURE.md;docs/reviews/findings-from-documentation.md	70dacec1 §31.3–5	Neutral substitutes for a missing family rather than becoming a seventh/base cascade layer; sparse declared families remain authored sparse recipes	accepted;wider_F5_redesign_unresolved	none_required	Theme::define_family;override_family;define_variant;override_variant	preserve_current_contract	Explicitly dispose empty-edit sparse-family footgun; do not silently insert neutral below defined families	custom family replace-vs-fallback tests	TASK-011
HM03	COMPONENT_ARCHITECTURE.md	70dacec1 §32.3	RowUi cell-owning glyph methods distinguish Clear blank reserved width from Inherit no automatic glyph	accepted	52da837 historical_wave1	collection/rowui.rs	retain_verify	Pin marker/gutter/part plus wide glyph geometry; label methods retain their separate contract	Slot Set/Clear/Inherit visual width and adjacent-cell proof	TASK-015
HM04	COMPONENT_ARCHITECTURE.md	70dacec1 §32.2;15371443 §32.2	Approved reserved-pad brackets have one shared implementation; role mentions/delegation are allowed; Choice in-run bracket remains separate unresolved geometry	accepted;Choice_unresolved	main components/mod.rs	Button;Tabs;ChipBar;Choice	partial_explicit_exception	Keep helper and byte-stable pads; record oracle-backed Choice disposition without blanket exemption	bracket helper AST gate; pressed vs focus mono geometry	TASK-015;TASK-018
HM05	COMPONENT_ARCHITECTURE.md	9486b654 §33.1–2;0f018368	PARTS is exact component-owned resolution set including same-id composition; arbitrary caller row parts stay row-owned	accepted_target_not_implemented	absent_at_main	ui/mod.rs:96;tests/conformance.rs:4396	broken_instrumentation	Add truthful component/row provenance and resolution ownership; never fabricate derived ids to hide caller queries	attributed query union equals PARTS; row custom Part negative tests	TASK-031;TASK-073
HM06	COMPONENT_ARCHITECTURE.md	9486b654 §33.3–4	Remove extra-part escape hatch; conditional parts proven by default/state/empty/disabled/narrow/real-activation fixture sweep	accepted	absent_at_main	tests/conformance.rs:4396;:4461	broken_subset_with_extra	Generate exact set assertion; declare composed parts explicitly; honor genuine conditional production paths	missing declared part; undeclared painted part; legitimate composition mutation negatives	TASK-031;TASK-073
HM07	COMPONENT_ARCHITECTURE.md	9486b654 §33.6;audit 2c848f9e §41.1	Suite-level PARTS and degenerate checks derive from the same conformance registry; no hand-maintained unchecked call list	accepted	absent_for_parts_at_main	tests/conformance.rs:4461	partial_manual_omissions	Include Probe/Dialog/Props/PropsList and every future registration structurally	remove/new registry case must alter generated parts+zero-area coverage	TASK-031;TASK-073
HM08	COMPONENT_ARCHITECTURE.md	9486b654 §33.5;15371443	Explicit patch_part hook is future ordering hardening; ebfa8b8 recorded selected part plus unchanged sibling closes covered TextArea FIELD query proof	amended_optional_hook	ebfa8b8	conformance driver;TextArea	query_proof_present_visible_proof_separate	Do not require optional hook as missing API; prove actual advertised override paint separately from covered queries	selected Resolved differs; sibling/theme unchanged; visible slot/patch fixtures	TASK-031;TASK-073
HM09	COMPONENT_ARCHITECTURE.md	9486b654 §33.7;de817f26 §45.5	Painting queries must be observable with truthful owner; measure-only resolve cannot silently bypass instance patch precedence or styling instrumentation	accepted_target_open	main ui/mod.rs opt-in note_styled	Ui;PartStyle;RowUi;author components	partial_underrecording_possible	Close zero and partial unrecorded painting paths; retain pure measurement outside instance precedence	custom author component; zero-query rejection; painted glyph instance patch	TASK-031;TASK-073
HM10	COMPONENT_ARCHITECTURE.md	9486b654 §34;later §74	Terminal boundary narrows authored/requested color ceiling; deterministic Theme Runtime Harness Scene constructors do not read environment	accepted_amended	main run/session	Theme;ColorLevel;TerminalSession;four app launchers	retain_verify	Preserve authored palettes and pure canonical labeling; reconcile flags with oracle explicitly	TERM dumb; force/nonzero; NO_COLOR nonempty/empty; stdout tty; unset TERM; pre-downgraded theme	TASK-009
HM11	COMPONENT_ARCHITECTURE.md	9486b654 §34.3	Capability detection has pure argument-based environment decision table; dumb outranks force; force outranks NO_COLOR/pipe; downgrade idempotent	accepted	main theme	ColorLevel;Theme	retain_verify	Test independent precedence intersections and repeat narrowing; no test env mutation required	pure from_env table; equal-level idempotence; never widen	TASK-009
HM12	COMPONENT_ARCHITECTURE.md	9486b654 §34.4;later §40 correction	Capture must actually route through capability-aware runtime and propagate requested theme/color; flags and labels alone prove nothing	accepted	later capture implementation	tools/capture.sh;xtask;app main	needs_oracle_capture_verification	Full executable mono capture with contradictory truecolor env proving effective downgrade; matching metadata	PTY color matrix plus canonical frame metadata equality	TASK-009;TASK-070
HM13	COMPONENT_ARCHITECTURE.md	afc60678 §35.1	Ui::scroll_region convenience rejected; components compose ScrollRegion directly without collection-to-component layering inversion	rejected_api	none	Ui;ScrollRegion;collection	preserve_absence	No convenience revival or duplicate app scrollbar infrastructure	public API and dependency boundary scan	TASK-014
HM14	COMPONENT_ARCHITECTURE.md	afc60678 §35.2;0f018368	Executable doc claims implemented or explicitly open; suppressions require kind/owner/expiry and stale/duplicate checks	accepted_partial	later doc-check stale/duplicate implementation	xtask doc check;allow file	metadata_obligation_open	Retain stale/duplicate failure; explicit scoped suppressions rather than blanket type silencing	unresolved name; expired/satisfied/no-hit/duplicate suppression mutation probes	TASK-068;TASK-072
HM15	COMPONENT_ARCHITECTURE.md	afc60678 §35.3	Complete ASCII glyph table and whole-set single-byte width-one assertion; scrollbar/rule fields included; border-only U+2500 exclusion insufficient	accepted_unfinished_mapping_review	main glyph.rs:349 only partial assertion	theme/glyph.rs;builder.rs	partial	Oracle-backed disposition for all glyph roles and spinner distinction; independent review of any unresolved mapping without redesign	all roles and typed set fields ASCII and width1; sticky call-order semantics	TASK-011
