finding_id	title	task_ids	proof_owners	adjudication_status	source_report_section	branch_corrections_binding
BD-JT-01	control-shaped paint does not own source actions	TASK-058	TP-004;TP-006	integrated	branch-diff-jackin-tablepro.md#BD-JT-01	refactoring-tasks/terminal-components/completion/058/trusted/jt-branch-corrections.md#JT-CONNECTION-ACTIONS
BD-JT-02	conversion and validation changed source outcomes	TASK-058	TP-008;TP-009;TP-011	integrated	branch-diff-jackin-tablepro.md#BD-JT-02	refactoring-tasks/terminal-components/completion/058/trusted/jt-branch-corrections.md#JT-CONVERSION
BD-JT-03	surface names and bound keys overstate implemented flows	TASK-059;TASK-060;TASK-061;TASK-062;TASK-063		integrated	branch-diff-jackin-tablepro.md#BD-JT-03	refactoring-tasks/terminal-components/completion/058/trusted/jt-branch-corrections.md#JT-SURFACES;refactoring-tasks/terminal-components/completion/059/trusted/jt-branch-corrections.md#JT-SURFACES;refactoring-tasks/terminal-components/completion/063/trusted/jt-branch-corrections.md#JT-SURFACES-CLOSURE
BD-JT-04	history fixture and displayed vocabulary were reduced	TASK-061;TASK-063		integrated	branch-diff-jackin-tablepro.md#BD-JT-04	refactoring-tasks/terminal-components/completion/061/trusted/jt-branch-corrections.md#JT-HISTORY-FIXTURE
BD-JT-05	database fixture migration largely preserves source	TASK-062		integrated	branch-diff-jackin-tablepro.md#BD-JT-05	refactoring-tasks/terminal-components/completion/062/trusted/jt-branch-corrections.md#JT-DB-FIXTURE
BD-JT-06	dormant filter evaluator cannot become the parity implementation	TASK-060;TASK-063	TP-039;TP-040;TP-041;TP-042	integrated	branch-diff-jackin-tablepro.md#BD-JT-06	refactoring-tasks/terminal-components/completion/060/trusted/jt-branch-corrections.md#JT-FILTER-POLICY;refactoring-tasks/terminal-components/completion/063/trusted/jt-branch-corrections.md#JT-FILTER-CLOSURE
BD-JT-07	Picker paste compatibility has more than one underlying owner	TASK-059;TASK-060;TASK-061;TASK-063	ADJ-09	integrated	branch-diff-jackin-tablepro.md#BD-JT-07	refactoring-tasks/terminal-components/completion/059/trusted/jt-branch-corrections.md#JT-PICKER-PASTE;refactoring-tasks/terminal-components/completion/060/trusted/jt-branch-corrections.md#JT-PICKER-PASTE;refactoring-tasks/terminal-components/completion/061/trusted/jt-branch-corrections.md#JT-PICKER-PASTE
BD-JT-08	surviving test names hide deleted journeys	TASK-005;TASK-061;TASK-062;TASK-063;TASK-064;TASK-067;TASK-073		integrated	branch-diff-jackin-tablepro.md#BD-JT-08	refactoring-tasks/terminal-components/completion/064/trusted/jt-branch-corrections.md#JT-TEST-JOURNEYS
BD-JT-09	preserve the new ownership tests without inheriting their UX expansions	TASK-060;TASK-061	ADJ-18	integrated	branch-diff-jackin-tablepro.md#BD-JT-09	refactoring-tasks/terminal-components/completion/060/trusted/jt-branch-corrections.md#JT-ARCHITECTURE-ADVERSARIES;refactoring-tasks/terminal-components/completion/061/trusted/jt-branch-corrections.md#JT-QUERY-READONLY
BD-JT-10	domain preservation does not imply World policy preservation	TASK-051;TASK-053;TASK-054;TASK-055;TASK-056	JA-026;JA-027;JA-028;JA-029;JA-045;JA-048;JA-057	integrated	branch-diff-jackin-tablepro.md#BD-JT-10	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-WORLD-POLICY;refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-WORLD-POLICY
BD-JT-11	extracted diff fixture quietly removes hunks and source text	TASK-056	JA-060	integrated	branch-diff-jackin-tablepro.md#BD-JT-11	refactoring-tasks/terminal-components/completion/056/trusted/jt-branch-corrections.md#JT-DIFF-FIXTURE
BD-JT-12	account precedence extraction drops effective-set policy and explanations	TASK-051;TASK-052;TASK-054;TASK-055	JA-023;JA-045;JA-048	integrated	branch-diff-jackin-tablepro.md#BD-JT-12	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-ACCOUNT-PRECEDENCE;refactoring-tasks/terminal-components/completion/052/trusted/jt-branch-corrections.md#JT-ACCOUNT-PRECEDENCE
BD-JT-13	PTY model preserves boot, rewrites interactive transcripts and deadlines	TASK-055	JA-050	integrated	branch-diff-jackin-tablepro.md#BD-JT-13	refactoring-tasks/terminal-components/completion/055/trusted/jt-branch-corrections.md#JT-PTY-TRANSCRIPTS
