id	finding	current_disposition	author_evidence	independent_evidence	remaining
ROOT-01	TextInput paste helper copied the wrong idle eligibility	planning repaired; independent source and frame probe verified	reaudit-coordinator.md;architecture-adjudication.md#adj-09-deferred-product-fixes-do-not-redefine-the-immutable-oracle	reaudit-components-a-rereview.md;reaudit-app-repairs-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
ROOT-02	Historical authority suffix and canonical provenance could drift independently	structural sync and validator repaired; negative controls passed	reaudit-coordinator.md	python3 docs/refactoring-plan/evidence/sync-history-stages.py (written:false, changed_files:0); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
ROOT-03	Task index dependency projection stayed handwritten after canonical task changes	assembly now derives dependency IDs from canonical task.toml; normal and optimized positive negative and idempotency checks passed	evidence/assemble-plan.py	python3 docs/refactoring-plan/evidence/assemble-plan.py (3243 edges, changed:[]); python3 docs/refactoring-plan/evidence/derive-task-graph.py (written:false); traceability.tsv DEC ADJ-14→TASK-013/015/068	
ROOT-04	New ADJ-09 edge overclaimed TASK-043 full service and preview branch closure	043 split into exact eight overlay branches and bounded Args contributions;048 owns successful raw-kind descendants	reaudit-coordinator.md	reaudit-coordinator-contracts-rereview.md	
ROOT-05	ChoiceDialog source filename was mistaken for workflow task ownership	Actual capsule request_exit1093 is JA-059 dirty-exit owned056 not a split owned055; direct consumer corrected	reaudit-coordinator.md;architecture-adjudication.md	reaudit-assembly-rereview.md	
CA-01	Safe job-control support missing required dependency scope and process lifecycle contract	planning review complete; TASK-009 owns PTY signal/termios safe-session witness execution	reaudit-components-a.md	reaudit-components-a-rereview.md;reaudit-session-broker-rereview.md	
CA-02	Cross-span grapheme defect excluded actual shared Ui painter owner	planning scope and prerequisite ordering repaired	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
CA-03	Visible override rule contradicted accepted covered TextArea FIELD resolution exception	planning repaired with exact non-general exception	reaudit-components-a.md;architecture-adjudication.md#adj-04-parts-equality-and-painted-slot-equality-are-different-contracts	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
CA-04	Universal modal-first paste contradicted immutable application behavior	planning repaired; ADJ-09 fixed shared command and deferred F01/F04 disposition	reaudit-components-a.md;reaudit-components-b.md	reaudit-components-a-rereview.md;reaudit-app-repairs-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
CA-05	Choice geometry and cursor/value compatibility still delegated unresolved design	ADJ-10 fixes typed navigation and default-false Form policy	reaudit-components-a.md;architecture-adjudication.md	reaudit-components-a-rereview.md;reaudit-coordinator-contracts-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
