scenario_id	application	screen_flow	reference_state	current_main_state	components_involved	visual_proof	interaction_proof	current_defect_regression	root_component_owners	app_owner	owning_task_ids
SC-BASE-overview	showcase	overview	showcase-scenarios.tsv#SC-BASE-overview; O:pages/overview.rs:76	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/overview	theme,text,Panel	REQUIRED-UNCAPTURED V:SC-BASE-overview; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-overview	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;text-core;theme-paint	showcase-overview	TASK-002;TASK-037;TASK-039;TASK-069
SC-BASE-buttons	showcase	buttons	showcase-scenarios.tsv#SC-BASE-buttons; O:pages/buttons.rs:70	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	Button,Panel	REQUIRED-UNCAPTURED V:SC-BASE-buttons; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-buttons	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-buttons	TASK-002;TASK-033;TASK-039;TASK-069
SC-BASE-inputs	showcase	inputs	showcase-scenarios.tsv#SC-BASE-inputs; O:pages/inputs.rs:121	partially migrated; live enabled fields inert; M:apps/showcase/src/app.rs;pages/inputs	TextInput,Field,Panel	REQUIRED-UNCAPTURED V:SC-BASE-inputs; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-inputs	SC-INPUT: owner/search/API key drawn as references; only name/branch update	chrome;fields-edit;runtime-input;text-core;theme-paint	showcase-inputs	TASK-002;TASK-033;TASK-039;TASK-069
SC-BASE-textareas	showcase	textareas	showcase-scenarios.tsv#SC-BASE-textareas; O:pages/textareas.rs:62	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/textareas	TextArea,Panel,scrollbar	REQUIRED-UNCAPTURED V:SC-BASE-textareas; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-textareas	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;fields-edit;runtime-input;scroll-parity;text-core;theme-paint	showcase-textareas	TASK-002;TASK-033;TASK-039;TASK-069
SC-BASE-forms	showcase	forms	showcase-scenarios.tsv#SC-BASE-forms; O:pages/forms.rs:129	partial; controlled fields/actions incomplete; M:apps/showcase/src/app.rs;pages/forms	Field,TextInput,TextArea,Checkbox,RadioGroup,Toggle,Button	REQUIRED-UNCAPTURED V:SC-BASE-forms; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-forms	SC-FORM: reviewer/reset update and >1800ms submit lifecycle need restoration	chrome;fields-edit;runtime-input;text-core;theme-paint	showcase-forms	TASK-002;TASK-033;TASK-039;TASK-069
SC-BASE-lists	showcase	lists	showcase-scenarios.tsv#SC-BASE-lists; O:pages/lists.rs:66	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/lists	List,Panel,scrollbar	REQUIRED-UNCAPTURED V:SC-BASE-lists; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-lists	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;runtime-input;scroll-parity;theme-paint	showcase-lists	TASK-002;TASK-037;TASK-039;TASK-069
SC-BASE-trees	showcase	trees	showcase-scenarios.tsv#SC-BASE-trees; O:pages/trees.rs:34	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/trees	Tree,Panel,scrollbar	REQUIRED-UNCAPTURED V:SC-BASE-trees; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-trees	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;runtime-input;scroll-parity;theme-paint	showcase-trees	TASK-002;TASK-037;TASK-039;TASK-069
SC-BASE-tables	showcase	tables	showcase-scenarios.tsv#SC-BASE-tables; O:pages/tables.rs:97	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/tables	Table,Panel,scrollbar	REQUIRED-UNCAPTURED V:SC-BASE-tables; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-tables	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;grid-parity;runtime-input;scroll-parity;theme-paint	showcase-tables	TASK-002;TASK-034;TASK-039;TASK-069
SC-BASE-editable	showcase	editabletables	showcase-scenarios.tsv#SC-BASE-editable; O:pages/editable.rs:75	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/editabletables	Table,TextInput,Panel	REQUIRED-UNCAPTURED V:SC-BASE-editable; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-editable	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;fields-edit;grid-parity;runtime-input;scroll-parity;text-core;theme-paint	showcase-editabletables	TASK-002;TASK-034;TASK-039;TASK-069
SC-BASE-panels	showcase	panels	showcase-scenarios.tsv#SC-BASE-panels; O:pages/panels.rs:71	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/panels	Panel,ScrollPanel,List	REQUIRED-UNCAPTURED V:SC-BASE-panels; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-panels	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;output-text;runtime-input;scroll-parity;theme-paint	showcase-panels	TASK-002;TASK-036;TASK-039;TASK-069
