task_id	key	title	dependencies	wave	writable_paths	purpose
TASK-001	B-HARNESS	Implement independently qualified comparator and host core		B	tools/refactor-proof	Implement only exact comparison and the thin host freeze/verify/integrate ABI; independent planner fixtures establish trust before runner extensions.
TASK-002	B-SHOWCASE	Capture all immutable Showcase oracle scenarios	TASK-001;TASK-070;TASK-071;TASK-072	B	tools/refactor-proof-adapters/showcase	Every SC scenario and 23-page expansion captures repeatable oracle events, cells, cursor and semantics; exact clock adapter boundaries qualified
TASK-003	B-HOLLA	Capture all immutable Holla oracle scenarios	TASK-001;TASK-070;TASK-071;TASK-072	B	tools/refactor-proof-adapters/holla	All 34 oracle worlds, HP/route/sweep cases, CLI/lifecycle and private semantic assertions captured with frozen numeric events
TASK-004	B-JACKIN	Capture all immutable Jackin oracle scenarios	TASK-001;TASK-070;TASK-071;TASK-072	B	tools/refactor-proof-adapters/jackin	Eight worlds, every route/overlay/config/capsule scenario, motion phases and modeled-only cases captured in their honest lanes
TASK-005	B-TABLEPRO	Capture all immutable TablePro oracle scenarios	TASK-001;TASK-070;TASK-071;TASK-072	B	tools/refactor-proof-adapters/tablepro	All TP fixtures/action routes, palette/resize/clock boundaries and domain observations captured
TASK-006	B-COMPONENTS	Capture reusable component states and seal complete baseline	TASK-002;TASK-003;TASK-004;TASK-005;TASK-070;TASK-071;TASK-072	B	tools/refactor-proof-adapters/components	Every 54-family row has baseline or evidence-backed non-applicability, common state axes, geometry and semantic proof; all app bundles sealed
TASK-007	B-INVENTORY	Reconcile exact historical and oracle test identities	TASK-001;TASK-070;TASK-071;TASK-072	B	tools/test-inventory	Exact historical and oracle test identities/profile requirements reconciled; required inventory approved; moved cases retain identity through a relocation map
TASK-008	B-TEST-DISPOSITION	Replace oracle-conflicting test authority with protected staged assertions	TASK-007;TASK-006;TASK-070;TASK-071;TASK-072	B	tools/test-disposition;crates/tui/tests;apps/showcase/tests;apps/holla/tests;apps/jackin-preview/tests;apps/tablepro/tests;archives/test-authority;apps/holla/src/app.rs;apps/holla/src/app/historical_tests.rs;apps/holla/src/cli.rs;apps/holla/src/clock.rs;apps/holla/src/dispatch.rs;apps/holla/src/domain/disk.rs;apps/holla/src/domain/fixtures.rs;apps/holla/src/domain/git.rs;apps/holla/src/domain/host.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/plan.rs;apps/holla/src/domain/ranking.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/activity.rs;apps/holla/src/screens/dialogs.rs;apps/holla/src/screens/home.rs;apps/holla/src/screens/plan.rs;apps/holla/src/screens/plan_gate.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/pg.rs;apps/holla/src/sim/plans.rs;apps/holla/src/sim/world.rs;apps/jackin-preview/src/app.rs;apps/jackin-preview/src/app/historical_paint.rs;apps/jackin-preview/src/arbiter.rs;apps/jackin-preview/src/cli.rs;apps/jackin-preview/src/clock.rs;apps/jackin-preview/src/domain/account.rs;apps/jackin-preview/src/domain/agent.rs;apps/jackin-preview/src/domain/fixtures.rs;apps/jackin-preview/src/domain/instance.rs;apps/jackin-preview/src/domain/usage.rs;apps/jackin-preview/src/domain/workspace.rs;apps/jackin-preview/src/rain.rs;apps/jackin-preview/src/scenario.rs;apps/jackin-preview/src/screens/capsule.rs;apps/jackin-preview/src/screens/cockpit.rs;apps/jackin-preview/src/screens/editor.rs;apps/jackin-preview/src/screens/file_browser.rs;apps/jackin-preview/src/screens/manager.rs;apps/jackin-preview/src/screens/op_flow.rs;apps/jackin-preview/src/screens/settings.rs;apps/jackin-preview/src/screens/usage.rs;apps/jackin-preview/src/sim/changes.rs;apps/jackin-preview/src/sim/launch.rs;apps/jackin-preview/src/sim/onepassword.rs;apps/jackin-preview/src/sim/pty.rs;apps/jackin-preview/src/sim/world.rs;apps/showcase/src/app.rs;apps/showcase/src/pages/editor.rs;apps/showcase/src/pages/mod.rs;apps/showcase/src/pages/pickers.rs;apps/showcase/src/render_number.rs;apps/tablepro/src/app.rs;apps/tablepro/src/cli.rs;apps/tablepro/src/domain.rs;apps/tablepro/src/lib.rs;apps/tablepro/src/model.rs;apps/tablepro/src/sql.rs;apps/tablepro/src/tabs.rs;apps/tablepro/src/workbench.rs;crates/tui-testing/src/conformance/mod.rs;crates/tui-testing/src/digest.rs;crates/tui-testing/src/harness.rs;crates/tui-testing/src/perf.rs;crates/tui/src/action.rs;crates/tui/src/author.rs;crates/tui/src/capture.rs;crates/tui/src/collection/empty.rs;crates/tui/src/collection/key.rs;crates/tui/src/collection/reconcile.rs;crates/tui/src/collection/rowui.rs;crates/tui/src/components/brand.rs;crates/tui/src/components/button.rs;crates/tui/src/components/chip.rs;crates/tui/src/components/choice.rs;crates/tui/src/components/code.rs;crates/tui/src/components/completion.rs;crates/tui/src/components/dialog.rs;crates/tui/src/components/diff.rs;crates/tui/src/components/empty.rs;crates/tui/src/components/field.rs;crates/tui/src/components/filter_list.rs;crates/tui/src/components/form.rs;crates/tui/src/components/grid.rs;crates/tui/src/components/help.rs;crates/tui/src/components/hintbar.rs;crates/tui/src/components/input.rs;crates/tui/src/components/keyhint.rs;crates/tui/src/components/list.rs;crates/tui/src/components/menu.rs;crates/tui/src/components/meter.rs;crates/tui/src/components/mod.rs;crates/tui/src/components/nav_list.rs;crates/tui/src/components/panel.rs;crates/tui/src/components/picker.rs;crates/tui/src/components/picker_chain.rs;crates/tui/src/components/progress.rs;crates/tui/src/components/props.rs;crates/tui/src/components/scroll_region.rs;crates/tui/src/components/select.rs;crates/tui/src/components/split.rs;crates/tui/src/components/status.rs;crates/tui/src/components/steps.rs;crates/tui/src/components/tabs.rs;crates/tui/src/components/textarea.rs;crates/tui/src/components/too_small.rs;crates/tui/src/components/tree.rs;crates/tui/src/components/viewport.rs;crates/tui/src/components/wizard.rs;crates/tui/src/cursor.rs;crates/tui/src/diagnostics.rs;crates/tui/src/event.rs;crates/tui/src/focus.rs;crates/tui/src/hit.rs;crates/tui/src/id.rs;crates/tui/src/intent.rs;crates/tui/src/keymap.rs;crates/tui/src/layer.rs;crates/tui/src/layout.rs;crates/tui/src/measure.rs;crates/tui/src/response.rs;crates/tui/src/runtime.rs;crates/tui/src/runtime/session.rs;crates/tui/src/scroll.rs;crates/tui/src/secret.rs;crates/tui/src/text/buffer.rs;crates/tui/src/text/editor.rs;crates/tui/src/text/fuzzy.rs;crates/tui/src/text/measure.rs;crates/tui/src/theme/border.rs;crates/tui/src/theme/builder.rs;crates/tui/src/theme/builtin/mod.rs;crates/tui/src/theme/downgrade.rs;crates/tui/src/theme/glyph.rs;crates/tui/src/theme/mod.rs;crates/tui/src/theme/patch.rs;crates/tui/src/theme/recipe.rs;crates/tui/src/theme/resolve.rs;crates/tui/src/theme/tokens.rs;crates/tui/src/ui/cx.rs;crates/tui/src/ui/derived.rs;crates/tui/src/ui/layer_buf.rs;crates/tui/src/ui/mod.rs;crates/tui/src/ui/paint.rs;crates/tui/src/validate.rs	Every current test/baseline has a frozen compatible, oracle-conflicting or obsolete disposition; new oracle expectations and staged failure accounting replace conflicting candidate product assertions without weakening immutable archives
TASK-009	C-SESSION	Preserve terminal session time input and capability contracts	TASK-006;TASK-008;TASK-073	C	Cargo.toml;Cargo.lock;crates/tui/Cargo.toml;crates/tui/src/runtime.rs;crates/tui/src/runtime/session.rs;crates/tui/src/runtime/time.rs;crates/tui/src/runtime/feedback.rs;crates/tui/src/event.rs;crates/tui/tests/completion_009.rs;xtask/src/main.rs	Terminal session cleanup, normalized input, bootstrap and monotonic deadlines match the oracle without widening color capability.
TASK-010	C-RUNTIME	Restore runtime focus capture and publication behavior	TASK-009;TASK-008;TASK-073	C	crates/tui/src/runtime.rs;crates/tui/src/runtime/typing.rs;crates/tui/src/focus.rs;crates/tui/src/hit.rs;crates/tui/src/capture.rs;crates/tui/tests/completion_010.rs	Published focus, capture and typing ownership reproduce oracle event trajectories.
