id	source_revision_section	obligation	authority_status	supersession_or_correction	required_acceptance_evidence
EARLY-AMEND-001	9486b654 §26.2	Sizing resolution records no painted parts; painted-part evidence must come from actual instrumented paint paths.	accepted correction	Strikes false Ui::style/style_patched automatic styled-part recording claim; later parts instrumentation must prove its actual behavior.	Downstream author paint fixture resolves and paints declared parts; sizing-only resolution produces no styled-part evidence.
EARLY-AMEND-002	afc60678 §§12.2,25.11,26.3	Owners compose ScrollRegion update/draw directly; Ui constructs no components.	accepted rejection	Ui::scroll_region is struck, not deferred; seven legacy scrollbar copies remain successor-family migration obligations.	Public-author composition compiles; no Ui-to-components dependency or legacy on_scrollbar copies.
EARLY-AMEND-003	838f25e0 §16.3;9b311666 §16.3	Baseline changes require complete key accounting and reviewable frame/capture evidence; missing or invalid BLESS_GUARD_BASE fails closed.	accepted mechanism; oracle governs output	Guard initially unimplemented; 9b311666 records implementation. Repository-state checks prove completeness, not historical operation ordering.	Mutations to added/moved/deleted keys and invalid base fail; trusted immutable parity fixtures remain unwritable to executors.
EARLY-AMEND-004	838f25e0 §20.10 item19;3adb6efe item19	First-generation component keys are a closed set and never authorize later movement; inspect frames rather than opaque hashes.	historical baseline classification	Fourteen named components/896 keys; explicit first-generation scope added later. This is not present appearance approval.	Closed key enumeration; content/empty/rect/glyph/label/mono rejection conditions; independent style and canonical-cell proof.
EARLY-AMEND-005	8ee99771 §16.5	Grid capability rejection checks syntax, not whitespace-sensitive text; a missing due Grid source cannot count as implementation proof.	accepted	syn rejects editable signatures including generic/multiline forms and GridCellActions in inline modules; historically missing Grid returned vacuous success.	Negative syntax fixtures, source-presence guard, shared GridModel update and separate GridEditor path compile checks.
EARLY-AMEND-006	6ec29171 §16.6	Frozen pre-refactor root performance evidence and current library evidence are distinct datasets with corrected units.	accepted evidence correction	213 showcase frame allocations;1030 list allocations/176 hits;499 query frame;132 manager key;61005 grid load;399998 allocations/two sorts;15949816 allocations/1000 pushes plus frame; truncate6/theme clone7/mono clone23.	Exact before-source and benchmark-unit joins; no comparison to file lacking the named historical row; retain applicable absolute targets.
EARLY-AMEND-007	6ec29171 §§16.1,29.7	Regression proof exercises Clear geometry, keyed strip rendering, both cell boundaries, and actual ASCII glyph sets.	accepted	Clear reserves a blank cell; same buggy enumeration or non-overflowing fixture is insufficient; no-box-drawing is weaker than all-ASCII.	Clear/Inherit differential; overflowing reorder; left/right out-of-area rejection; full typed GlyphSet ASCII scan.
EARLY-AMEND-008	739754c7 §11.4;a1759b2a §11.4	Any readiness API must paint its ICON affordance and declare REPORTS_STATUS; BUSY and ERROR cannot be narrowed out.	accepted; oracle reconciliation required	Declaration alone was insufficient. Static ICON+LOADING underline later distinguishes LOADING from BUSY without unrelated flags.	Real readiness fixtures; disabled/error combinations; mono symbol/modifier distinction; exact oracle app frames.
EARLY-AMEND-009	a3fe79b1 §§11.4,20.10;a1759b2a §§11.3–11.4	Mono fallbacks are a private static resolver stage with 20 generic entries, applied once after merged recipe rules and before author overrides.	accepted supersession	Replaces18/19 copied per-recipe rules; targeted family entries are additional; older19 references in same cumulative revision are stale.	Storage unchanged across downgrade/clones; declared/neutral/custom families; repeated projection; CHECKED/PRESSED overlap; override precedence.
EARLY-AMEND-010	a3fe79b1 §29.8;11924199 §29.8;15371443 §29.8	A popover losing focus dismisses without restoring its opener; modal traps have bidirectional nonempty wrapping proof.	accepted; implementation checkpoint not fresh gate	a3fe marked Dialog TRAPS_FOCUS and driver owed;11924199 reports implementation at5d17cc0;15371443 corrects runnable module paths.	FocusOut popover/modal differential; both directions of caps/modal correspondence; empty and zero-area traps; Tab/BackTab wrap.
