id	source_revision	source_section	requirement	disposition	canonical_semantic_rows	required_proof
INLINE-F1	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F1	Props hold configuration only, never values or mutable screen/data borrows.	accepted; later amendments apply	A01,A47,A80	No data-bearing FieldKind/Form props; single configuration helper with per-phase data.
INLINE-F2	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F2	Tab order is visible focusable field declaration order; Form never duplicates traversal with cx.focus.	accepted; later amendments apply	A80	Tab and ShiftTab observe declared registration order.
INLINE-F3	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F3	Hidden fields register no ring/region and contribute no measure while eligible draft/cursor survives.	accepted; later amendments apply	A81	Hide/show retains draft; hidden no geometry; later removal/type/sensitivity invalidation separately covered.
INLINE-F4	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F4	Field height is pure in FieldSpec, DesignTokens and width; update owns reveal using last-frame area, first-frame absent area documented.	accepted; later amendments apply	A22,A80	Same measured/drawn height both phases and first-layout reveal case.
INLINE-F5	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F5	FormAction carries only IDs/action keys; caller owns values; no values bundle crosses submit.	accepted; later amendments apply	A80,A85	Exhaustive action payload proof and no secret clone/serialize channel.
INLINE-F6	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F6	Form draw commits/cancels/validates nothing; blur commit occurs through FocusOut update.	accepted; later amendments apply	A02,A87	Draw state equality and FocusOut-driven commit test.
INLINE-F7	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F7	At most one semantic FormAction; declaration-first controls then action-row buttons; remaining outcomes preserve invalidation.	accepted; later amendments apply	A04,A05,A80	Simultaneous actions resolve first deterministically without losing invalidation.
INLINE-F8	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F8	Nested Select popup owns its layer lifecycle, independent of draw order; Esc reaches control before outer layer.	accepted; later amendments apply	A17,A19,A80	Nested popup closes before dialog; no deferred repaint or re-registration hack; apply later popover focus policy.
INLINE-F9	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F9	Form is layer-agnostic composition with decorative background, no own backdrop/frame/trap.	accepted; later amendments apply	A09,A18,A80	Same Form under bare rect/Panel/Dialog; background does not produce UndeliveredIntent.
INLINE-F10	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F10	Submit commits active edit, validates visible fields in order, then cross-field rules; first error stored/revealed/focused; success emits submit action.	accepted_clarified_by_ADJ-12	A82; ADJ-12 resolves original every-visible wording against incomplete fail-fast implementation	Every visible validator exactly once in order; all safe per-field errors stored; cross only after all pass; first invalid focus/reveal/action; two simultaneous oracle TablePro errors; hidden skip and per-kind commit policy
INLINE-F11	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F11	Enter submits only when focused control is neither swallowing typing nor editing; submit chord comes from Action declaration.	accepted; later amendments apply	A48,A82	Editing/nested input prevents accidental submit; CtrlS action binding route and hint agree.
INLINE-F12	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F12	Dirty changes on committed mutation or toggle/choice, not draft keystroke.	accepted; later amendments apply	A80,A87	Draft then cancel stays clean; commit and immediate value choice become dirty.
INLINE-F13	27bd918e3a8a0a7fdba14fb10643139340d6281f	COMPONENT_ARCHITECTURE.md §15.1 F13	FormState/field drafts redact Debug and zeroize secret drafts before discard.	accepted; later amendments apply	A85,A86	Secret never appears in Debug/frame; close/cancel/removal lifecycle uses best-effort safe clearing.
