id	source_revision_section	obligation	authority_status	supersession_or_correction	required_acceptance_evidence
EARLY-001	2e453023 §§3–5;95ab6529 §21	Caller owns durable component state; update mutates through explicit state/model without Buffer; draw uses shared self/state/model and cannot commit or emit semantic actions.	accepted	Derived runtime cache mutation is not semantic state mutation.	Compile-fail draw mutation plus state-before/after draw comparisons for every component and composition.
EARLY-002	95ab6529 §21 items1–2	Configuration props contain no live item slice; item/model borrows are supplied per phase; generic key/row builders preserve inference through distinct defaults.	accepted	Replaces initial retained slice examples that caused E0502.	Borrowed non-static rows; mutate model between phases; captured closures; standalone generic Select/List examples compile.
EARLY-003	2e453023 §§3,19; e8d053c9 §19	No fused show, universal Widget trait, runtime-owned component tree, Box Any state, per-widget theme generic, compatibility facade or library async product state.	accepted	Interaction research's single on method is rejected while its runtime services are retained.	Dependency/type inventory and negative controls for each forbidden ownership mechanism.
EARLY-004	2e453023 §§6–8;587c53bd §25	Stable kind-tagged Id/ItemKey derivation; identity and order semantics independent of debug labels; duplicate IDs diagnosed.	accepted	Structural Eq enables const patterns; corpus hash equality is not a universal collision proof.	Const-pattern compile test; pair ordering/separator corpus; duplicate ID negative control.
EARLY-005	2e453023 §§6,12;95ab6529 §21	Reconcile cursor, selection, anchors and strip windows by stable item identity; generation/membership changes invalidate projections.	accepted	Equal lengths/endpoints cannot alone prove unchanged membership; rendering must consume keyed window too.	Insert/remove/reorder/duplicate/disabled tests; overflowing multi-digit strip fixtures; unchanged-generation allocation bounds.
EARLY-006	2e453023 §§3,8;95ab6529 §21;587c53bd §25	Runtime owns ring/hits/capture/hover/press; last published geometry is authoritative; app cannot retain mutable geometry caches.	accepted_with_later_publication_amendment	Candidate draw is not successful publication.	Read-only app audit; aborted/dropped output; resize/removal; no stale input authority.
EARLY-007	2e453023 §5 R5;587c53bd §25	Every component is safe at 0×0 through3×3, clips both edges, registers no stale geometry, and avoids underflow/ragged-row indexing.	accepted	Layer traps remain live even when body cannot paint.	Full tiny matrix; sentinel outside rect; translated left-edge checks; zero-size-to-live transitions.
EARLY-008	2e453023 §§8–9;95ab6529 §21;dc3e0fa1 §28 P3	Layer IDs allocated at open; hit priority is layer then latest registration; capture released on close; lifecycle addressed to decorative owners must also be consumed.	accepted	No exemption based solely on absence of focus/hit registration; update layer owner unconditionally.	Decor-only LayerCancel/FocusOut delivery; closed Dialog next update; topmost-hit order permutation.
EARLY-009	2e453023 §9;587c53bd §25 F3	Pooled layer composition copies only written cells; role provenance supports dimming only covered rect and excludes footer policy as selected.	accepted_subject_to_pinned_app_parity	Old uniform-footer visual-change permission is not current oracle authority.	Sentinel unpainted cells; nested overlay permutation; typed source-role dim; exact pinned footer cells.
EARLY-010	95ab6529 §21 items3,6;587c53bd §25	Focused editor sees Escape before bubble/layer/screen; intent queue frozen and indexed by owner; mutable services independent of iterator borrow.	accepted	No single mutable Cx borrow through iteration; empty queue zero probes.	Editor cancel-before-dismiss; compile borrow proof; zero probes on empty; owner-bucket complexity counter.
EARLY-011	95ab6529 §21;587c53bd §25	No intent redelivery during bounded focus reconciliation; pending focus survives resize and pass-limit rollover to next handle.	accepted	Fifth focus request must not be silently dropped.	Multi-hop focus chain with exactly-once events; resize then next handle; bounded termination.
