path	status	holla_blob	main_blob	holla_lines	main_lines	read_ranges	disposition	task_owners	semantic_disposition
crates/tui/src/collection/decor.rs	A	0000000000000000000000000000000000000000	fef75f63a9f7ada6cef800116a339609e037ba95	0	63	1-63	continue	015	Keep borrowed row decoration, typed glyph/style data and no owned model; W-015-01/02 and override identity proof.
crates/tui/src/collection/key.rs	A	0000000000000000000000000000000000000000	db0b92bf7c44bfdb02729ec5a4b78213e3214eb0	0	261	1-261	continue	015	Keep sorted Only/AllExcept KeySet, stable ItemKey and explicit unstable ByIndex; identity, duplicate-label and allocation witnesses.
crates/tui/src/collection/mod.rs	A	0000000000000000000000000000000000000000	99fabd0be71bf1104862190b22c367193a663eb8	0	13	1-13	continue	015	Keep single shared borrowed collection exports; no second owned widget namespace; compile/census proof.
crates/tui/src/collection/reconcile.rs	A	0000000000000000000000000000000000000000	e21635a7898403ace5bd6383b9991e069d0983c0	0	356	1-356	continue	015	Keep key cursor reconciliation, explicit invalidation for interior reorder and forward/backward fallback; preserve extant disabled cursor rather than inventing skip-everywhere policy.
crates/tui/src/collection/rowui.rs	A	0000000000000000000000000000000000000000	960a03bc2c2722eac2b32448642dc1e31575b6a9	0	1117	1-1117	restore	013;015	BA-FMT: preserve streaming Display surface but restore cluster continuity across formatter fragments; same shared projection as spans; retain per-cell patches, columns and allocation contracts.
crates/tui/src/components/brand.rs	A	0000000000000000000000000000000000000000	aafb8ad714098afac2d0c52d583e83754dc04f95	0	646	1-646	continue	027	Keep borrowed static/click-only Brand, padding/compact forms, META tagline, part/slot output and no Tab stop for click-only branch; restore exact oracle cells.
crates/tui/src/components/button.rs	A	0000000000000000000000000000000000000000	ac2d415c1f352ebc05e07d71eca8d9a35fe753ed	0	842	1-842	continue	027	Keep typed action, completed-click/keyboard equivalence, disabled/busy/readiness guards, independent readiness toggles and autofocus latch; restore exact source geometry.
crates/tui/src/components/chip.rs	A	0000000000000000000000000000000000000000	7b453f8007a30c284961ef36cd7d2d5b2a5bf7e9	0	1584	1-1584	restore	020	ADJ-11: retain keyed borrowed core; restore source lead, per-item checked/removable/error, keyless requests, clipped/nonreserved policy and overflow registration; generic default preserved.
crates/tui/src/components/choice.rs	A	0000000000000000000000000000000000000000	14884e11b58e1dbf88b242b5a24bdb974cd3243f	0	1735	1-1735	restore	018;019	ADJ-10: retain controlled value/cursor separation; typed Navigated and configured Form bridge preserve source arrow commits; exact mono reserved marker/label geometry.
crates/tui/src/components/dialog.rs	A	0000000000000000000000000000000000000000	93b798c73f99de5b7791b0029c398bd85ad6b7e6	0	1717	1-1717	continue	023	Keep shared typed layered Dialog/Confirm/Ack/Prompt composition and sealed secret draft; preserve first-enabled action, input prompt, body-once clipping, ack exact match and lifecycle zeroization.
