artifact_scope	path_count	side	disposition	task_owners	proof_owners	semantic_disposition	finding_ids
baseline/before/*.{png,ansi,txt,html,cursor}	2495	main	preserve_archive_no_blessing	TASK-003;TASK-007;TASK-008	TASK-069 must not treat dirty capture, matching PNG hash, historical required flag or prior review string as completion receipt	499-recipe historical five-format outputs; archival recipe/source/artifact joins verified in branch-artifact-relationships.json; not current four-app immutable oracle	BA-ART-02
baseline/before/stderr/**	216	main	preserve_archive_only	TASK-003;TASK-007	TASK-069	Historical stderr from old captures; never oracle acceptance	BA-ART-02
baseline/before/{MANIFEST.md,NOTES.md,manifest.tsv}	3	main	preserve_provenance_evidence	TASK-003;TASK-007;TASK-008	TASK-069	MANIFEST header 0cd1bf7 vs body d5e7075; NOTES record historical limitations and earlier defects, not instructions to reintroduce them	BA-ART-02
parity/recipes.tsv	1	main	preserve_recipe_identity_disposition	TASK-007;TASK-008	TASK-069	499 unique IDs equal baseline manifest; current_argv nonempty; recipe replay not authorized during planning; required flag is not a fresh completion receipt	BA-ART-02
shots/other-main-captures/**	2675	main	preserve_archive_dirty_provenance	TASK-003;TASK-070	TASK-069	Main capture frames and sidecars; capture-provenance binds dirty revision 61b6f8f9; matrix/provenance byte hashes verified; not immutable oracle	BA-ART-02
shots/capture-{matrix.tsv,provenance.json}	2	main	preserve_metadata_not_oracle	TASK-070;TASK-003	TASK-069	Exact membership and hash bindings verified; self-recorded revision is not compared tip or oracle pin	BA-ART-02
shots/audit/**	1251	holla	preserve_archive_dirty_provenance	TASK-003	TASK-069;TASK-070	302 manifests at dirty revisions 92d91629804ffadb109ffbcd7a6765ac73afff7d (290) and e4866ce41a485532e57bdc5761d90f0af541086c (12); Holla cell-grid capture reference	BA-ART-02;BA-ART-03
shots/audit-flows/**	257	holla	preserve_archive_only	TASK-003	TASK-069	Historical flow audit captures; integrity only, not acceptance	BA-ART-02
shots/fade/**	119	holla	preserve_archive_only	TASK-003;TASK-014	TASK-069	Historical fade/scrolling captures; preserve bytes and provenance only	BA-ART-02
distributed sidecars (json,guard,log,lock,md,tsv,manifest,fidelity)	937	both	preserve_never_port_as_baseline	TASK-003;TASK-007	TASK-069	605 JSON, 112 guards, 219 logs, 1 lock plus manifests/fidelity sidecars embedded in frame trees; decoded and related, not baseline products	BA-ART-02
tools/ansi2html.py	1	main	retire_from_acceptance_legacy_diagnostic	TASK-001;TASK-070	TASK-069;F22 R-003/AC-003/CHK-005 and R-001/AC-001/CHK-004	Scalar Unicode width; no clipping; BT02 counterexamples (界, combining e\u0301, abc two-column row)	BA-ART-03
tools/ansi2png.py	1	main	retire_from_acceptance_legacy_diagnostic	TASK-001;TASK-070	TASK-069	Scalar wcwidth raster path without per-grapheme clipping; PNG byte equality cannot prove algorithm	BA-ART-03
tools/capture.sh:868-895	1	main	route_or_label_legacy_exporter_lane	TASK-070	TASK-001;TASK-069	Preserve useful argv staging and five-artifact publication; demote scalar exporter derivatives from acceptance or route through qualified canonical cell grid	BA-ART-03
tools/capture_exec.sh;tools/capture_provenance.py	2	main	preserve_implementation_evidence_not_oracle_receipt	TASK-070	TASK-069	Retain staging/provenance patterns as history; self-recorded metadata is not immutable oracle receipt	BA-ART-03
tools/cells.py	1	holla	preserve_reference_do_not_port_wholesale	TASK-001;TASK-013	TASK-070	Deleted on main; canonical cell-grid/layout direction reference for qualified renderer boundary	BA-ART-03
tools/fidelity_check.py	1	holla	preserve_reference_conditional	TASK-001	TASK-070	Eight-case Holla checker; allowed missing Pillow skip; not promoted to acceptance	BA-ART-03
tools/historical-render/**	5	main	preserve_archive_never_oracle	TASK-003	TASK-069	Pinned scalar renderer regenerates 499 historical sets; archival generation boundary only	BA-ART-03
tools/qualified-capture/**	44	main	qualified_engine_separate_from_historical_blessing	TASK-001;TASK-070	TASK-069	Fresh pinned qualification and integrity tests; does not bless 24 old approvals or replace TASK-001/070 protected host	BA-ART-03
