id	area	oracle_state	main_state	architectural_target	status	remaining_obligation	available_gates	missing_proof	evidence	task_ids
A01	workspace/package ownership	one package four root binaries	virtual workspace four app packages	one junie_tui library; unpublished app libs; no library-to-app dependency	implemented structurally	preserve ownership through integration	app-inventory;workspace_root_is_virtual;binary_names_are_preserved;dependency_graph_is_exactly_the_declared_set	all exact oracle app behaviors	02f5294:Cargo.toml:1;7b27732:Cargo.toml:1	TASK-068
A02	public facade	public core/ui/widgets modules	private implementation modules curated root plus author	root application API; author component API; qualified raw text types	implemented structurally	close export/docs inventory including all reusable components	every_foreign_type_in_the_public_surface_is_re_exported;examples_are_external_consumers;doc-check	full current rustdoc/API inventory	7b27732:crates/tui/src/lib.rs:20;7b27732:crates/tui/src/author.rs:1	TASK-068
A03	component phase model	mutable render owns state changes	App update mutable; draw shared	retained caller state and borrowed props; no business mutation in draw	implemented structurally	preserve read-only draw during parity restoration	draw_takes_shared_self;cache_types_are_derived_only;props_are_built_once	production-view read-only mutation tests for each restored app	7b27732:crates/tui/src/runtime.rs:44;7b27732:COMPONENT_ARCHITECTURE.md:332	TASK-010
A04	identity	WidgetId positional children and locate	Id ItemKey Part PartRef	stable keys across filtering/reordering/removal; no reverse hit scans	implemented;parity unproven	prove item/focus/selection identity on all restored app models	grid_keyed_cursor;tree_state_replacement;tablepro row_identity;no_owns_or_locate_in_applications	golden dynamic collection scenarios	7b27732:crates/tui/src/lib.rs:51;7b27732:COMPONENT_ARCHITECTURE.md:499	TASK-015;TASK-020
A05	responses and routing	Outcome/bool/tuple variants	Response<A>;Intent;Phase;Bindings	one typed action/repaint/flow contract; runtime dispatch	implemented;parity unproven	restore exact bubbling/activation without direct input dispatch duplication	activation_origin;conformance;compile_fail_cases_hold	all app keyboard/mouse action equality	7b27732:crates/tui/src/lib.rs:71;7b27732:COMPONENT_ARCHITECTURE.md:379	TASK-010
A06	backend boundary	ratatui/crossterm coupled input	own key vocabulary optional backend	backend-free core and testing; backend only session/normalization	implemented;earlier prose superseded	reconcile stale two-files/normal dependency language	core_is_backend_free;isolated backend-free fixtures	locked both feature closures at final candidate	7b27732:crates/tui/Cargo.toml:17;7b27732:crates/tui/src/event.rs:1	TASK-009
A07	focus scopes	app rings barriers saved focus	shared runtime scopes/reconciliation	one runtime focus ring/traps; disabled entries retained but skipped	implemented;behavior drift possible	restore oracle startup/traversal/repeat click and overlay focus behavior	focus_traversal;focus_restoration;layer_focus_reparent	oracle focus sequences per app	7b27732:COMPONENT_ARCHITECTURE.md:577;7b27732:crates/tui/tests/focus_traversal.rs:1	TASK-010
A08	pointer capture and disabled owner	per-app pressed/hovered/drag	shared capture eligibility/publication; dynamic disable cancels held gesture on successful publication	top owner absorbs disabled activation; live geometry/capture valid	implemented;12 eligibility tests independently pass;app parity unproven	preserve publication-owned cancellation and extend true overlapping-owner proof	pointer_capture_eligibility;pointer_publication;conformance	true same-layer/cross-layer overlap intent proof plus oracle app trajectories	715ee0777e20a09e0f373b07024076bdc742ef1d;7b27732:crates/tui/src/runtime.rs:1725;architecture-adjudication.md ADJ-01	TASK-010
A09	wheel and scroll	public state and copied scrollbars	private ScrollState shared ScrollRegion	nearest eligible owner consumes boundary wheel; one thumb/capture model	refactored;oracle fade missing	add reusable fade semantics and preserve hidden-bar/wheel/reveal contract	scrollbar_full_track;nav_list_scrolling;nav_list_scrollbar_visibility	oracle top/middle/bottom fade/cell/interaction equality	7b27732:COMPONENT_ARCHITECTURE.md:8791;02f5294:src/ui/fade.rs:1	TASK-014
A10	layers	app backdrop loops popup placement	LayerSpec Anchor Dismiss compositor	single runtime layer stack/anchor resolver; open generic Dialog content	implemented;parity unproven	prove exact dimming/overlay capture/dismissal/restoration across app flows	overlay;dialog_navigation;dialog_acknowledgement	all stacked oracle frames plus action outcomes	7b27732:COMPONENT_ARCHITECTURE.md:664;7b27732:crates/tui/src/layer.rs:1	TASK-017;TASK-023
