id	decision	authority_status	evidence	task_ids
ADJ-01	Preserve publication-owned held-pointer cancellation; extend genuine overlap proof without a duplicate handler rewrite	accepted evidence correction	architecture-adjudication.md#adj-01-held-pointer-eligibility-is-already-publication-owned	TASK-010
ADJ-02	Configured constant-ID props constructors are private receiver-free functions; bounded scans retain explicit reachability proof	accepted historical contract clarified	architecture-adjudication.md#adj-02-props-constructors-have-no-receiver-scanner-claims-stay-bounded	TASK-065
ADJ-03	Preserve ColorLevel::narrow_to and private rank; no public ordering or widening	accepted existing API retained	architecture-adjudication.md#adj-03-color-capability-uses-a-meet-not-public-ordering	TASK-009;TASK-011
ADJ-04	Exact component-owned PARTS union and actual painted-slot equality use distinct truthful generated proofs	accepted historical contracts clarified	architecture-adjudication.md#adj-04-parts-equality-and-painted-slot-equality-are-different-contracts	TASK-031;TASK-073
ADJ-05	Preserve documented limited seed reset groups and authored downstream tokens; reject unaccepted wider cascading	conservative resolution of historical open proposal	architecture-adjudication.md#adj-05-seed-setters-preserve-authored-downstream-tokens	TASK-011
ADJ-06	Use the exact 42-role opt-in ASCII mapping and typed sets/spinner; unchanged defaults and immutable oracle	planning choice under accepted whole-set requirement; not a blessed frame	architecture-adjudication.md#adj-06-complete-opt-in-ascii-conversion-has-an-exact-mapping	TASK-011
ADJ-07	Move live Buttons ownership into Showcase and consolidate expired split render targets with exact test relocation	accepted expired packaging promises	architecture-adjudication.md#adj-07-expired-packaging-promises-close-through-exact-relocation	TASK-033;TASK-066
ADJ-08	Keep per-phase choice APIs and private Form bridges; defer item-aware FieldControl widening and public secret projection	accepted current API and explicit future-only scope	architecture-adjudication.md#adj-08-item-aware-fieldcontrol-widening-remains-outside-scope	TASK-019
ADJ-09	Keep deferred F01/F04/F08a/F09/F16/F18/F20 outside product changes; preserve actual source app routing search clipped sections and disabled fixture while retaining accepted shared APIs	immutable oracle and accepted architecture reconciled by source and disposable App replay; independent recheck required	architecture-adjudication.md#adj-09-deferred-product-fixes-do-not-redefine-the-immutable-oracle	TASK-013;TASK-016;TASK-017;TASK-021;TASK-022;TASK-023;TASK-025;TASK-026;TASK-032;TASK-033;TASK-039;TASK-040;TASK-042;TASK-043;TASK-044;TASK-048;TASK-050;TASK-056;TASK-060;TASK-063
ADJ-10	Typed RadioGroup navigation preserves caller ownership; opt-in private Form bridge commits source-qualified navigation with exact choice geometry	accepted generic API and immutable application oracle reconciled; independent recheck required	architecture-adjudication.md#adj-10-choice-navigation-reports-intent-without-owning-the-value	TASK-018;TASK-019;TASK-033;TASK-035;TASK-051;TASK-052;TASK-053;TASK-056;TASK-058
ADJ-11	One borrowed ChipBar owns lead and per-item policies with keyless requests and exact clipped source behavior; generic defaults remain supported	missing reusable API fixed in planning with source-qualified focus geometry and consumer obligations; independent recheck required	architecture-adjudication.md#adj-11-chipbar-owns-borrowed-lead-item-policies-and-clipped-strip-behavior	TASK-020;TASK-037;TASK-044;TASK-060
ADJ-12	Form validates every visible field and records all field errors; first failure controls focus/action and cross-validation runs only after all field checks pass	original F10 and source-visible simultaneous validation errors take precedence over unamended main fail-fast implementation; independent recheck required	architecture-adjudication.md#adj-12-form-validates-all-visible-fields-before-choosing-the-first-failure	TASK-019;TASK-058;TASK-068
ADJ-13	Permit exactly one private Unix crossterm signal lifecycle broker while retaining the ban on global UI state and preserving enter/run APIs	explicit narrow planning exception; caller-owned prototype is feasibility only; independent singleton and AST qualification required	architecture-adjudication.md#adj-13-one-private-unix-backend-signal-broker-is-an-explicit-global-state-exception	TASK-009;TASK-068;TASK-072
ADJ-14	Stream arbitrary Display fragments through one shared grapheme painter with private FrameState pending storage and honest cold warm output allocation bounds	measured disposable feasibility and independent seven-test rerun; all existing borrowed allocation gates retained; production proof remains required	architecture-adjudication.md#adj-14-stream-formatted-graphemes-with-private-reusable-pending-storage	TASK-013;TASK-015;TASK-068
ADJ-15	Select optional Commit policy uses existing value owner and Chose; open ConsumeUnhandled uses existing focused bindings with generic defaults unchanged	accepted generic history and immutable application oracle reconciled without duplicate Form engine; independent recheck required	architecture-adjudication.md#adj-15-select-commit-navigation-is-an-explicit-policy-of-its-existing-value-owner	TASK-018;TASK-019;TASK-037;TASK-043;TASK-052;TASK-053;TASK-058;TASK-060;TASK-068
ADJ-16	Typed passive inspectable Steps capabilities and Compact Rail presentation use one painter with borrowed metadata and append-only RAIL8	missing source capability and presentation APIs fixed while preserving current defaults; independent recheck required	architecture-adjudication.md#adj-16-steps-adds-typed-passive-and-inspectable-capabilities-with-one-rail-presentation	TASK-020;TASK-031;TASK-036;TASK-054;TASK-068
ADJ-17	Explicit CLI color selection bypasses ambient detection through one additive backend policy while preserving authored capability meet and generic Detect defaults	immutable four-app override precedence corrects earlier overbroad ADJ03 wording; independent recheck required	architecture-adjudication.md#adj-17-explicit-cli-color-selection-bypasses-ambient-detection-not-authored-theme-limits	TASK-009;TASK-032;TASK-039;TASK-040;TASK-050;TASK-051;TASK-056;TASK-057;TASK-063;TASK-068
