source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
HIST	A106	A106	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16	Named test identities and every public component conformance registration cannot disappear or pass zero matches	accepted	7433a2c0;later inventory	xtask;testing	audit_and_complete	Fail on missing roots/subjects/identities/stale allowances	inventory and red mutation tests	TASK-031;TASK-066;TASK-071	docs/refactoring-plan/historical-obligations.tsv:107	global semantic anchor; supplemental clauses retained	R-003	AC-003	CHK-005	preservation	Named test identities and every public component conformance registration cannot disappear or pass zero matches Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:107.
HIST	EARLY-049	EARLY-049	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	e8d053c9 §§16–17;95ab6529 §21;587c53bd §25	Every public component has real Conformance case and applicable semantic matrix, exact named test inventory, all runnable external examples and author proof.	accepted	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Macro name=>Case pins name; no blanket action trace on unconstrained Action; extra tests allowed but missing named tests fail.	Inventory equality with ownership exclusions; capability implication checks; compile actual examples; component state not click-only fixture.	TASK-031;TASK-066;TASK-068;TASK-071;TASK-073	docs/refactoring-plan/history-early-obligations.tsv:50	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Every public component has real Conformance case and applicable semantic matrix, exact named test inventory, all runnable external examples and author proof. Source disposition: accepted. Exact source: docs/refactoring-plan/history-early-obligations.tsv:50.
HIST	EARLY-059	EARLY-059	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	3ed377e3 §16.4,§16.6,AppendixA	Retain original measured test inventory and distinguish measured Capsule baseline from estimate.	accepted_correction	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: 26showcase,23tablepro,28jackin(22+6chrome),plus10rain/arbiter/clock/scenario; Capsule1080602allocs/74131917B replaces480000estimate.	Join original inventory by test identity not countalone; exact frozenWP0row provenance; present tests may add but not silently remove behavioral coverage.	TASK-066;TASK-067;TASK-071	docs/refactoring-plan/history-early-obligations.tsv:60	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Retain original measured test inventory and distinguish measured Capsule baseline from estimate. Source disposition: accepted_correction. Exact source: docs/refactoring-plan/history-early-obligations.tsv:60.
HIST	EARLY-AMEND-045	EARLY-AMEND-045	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	15371443 §§16.2,29;2a0cf299	Test command filters must select actual integration module names and valid typed syntax.	accepted correction	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Remove fictitious conformance:: prefix; Option<StateFlags> comma fixes;934 conformance result belongs to tested f713ccb only.	Enumerate and require nonzero matched tests before execution; no stale PASS counts or zero-test filter success.	TASK-066;TASK-068;TASK-071	docs/refactoring-plan/history-early-amendments-obligations.tsv:46	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Test command filters must select actual integration module names and valid typed syntax. Source disposition: accepted correction. Exact source: docs/refactoring-plan/history-early-amendments-obligations.tsv:46.
HIST	HAR-018	HAR-018	docs/audit/api-audit.md:1209-1280	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e	Historical tests omit purity custom theme mono tiny rect secrets nested identity/performance	historical evidence	unread	conformance; harness; catalog	unverified	Close actual obligations beyond historical counts; no inherited pass	Named tests executed nonzero; immutable oracle; actual action/state/frame assertions	TASK-031;TASK-066;TASK-071	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:19	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Historical tests omit purity custom theme mono tiny rect secrets nested identity/performance Source disposition: historical evidence. Exact source: docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:19.
HIST	HAR-021	HAR-021	docs/audit/app-audit.md original:408-567	e81ca17b	Product journeys and stable test addressing survive migration	historical preservation evidence	unread	all three apps; harness	unverified	Preserve Showcase editing/nav; TablePro safe SQL/history; Jackin eight scenarios/arbiter/accounts/Capsule	Oracle key+mouse+resize domain actions and full cells; virtual clock; secret amendments	TASK-066;TASK-069;TASK-071	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:22	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Product journeys and stable test addressing survive migration Source disposition: historical preservation evidence. Exact source: docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:22.
HIST	HI-039	HI-039	docs/reviews/slice3-foundations-review.md F9/F11/F12/F17/F23	2e86bf61	Architecture checks scan all production items; names correspond to executable tests; conformance meaningful	accepted	7899678 reported	xtask; architecture; conformance; compile-fail	not independently tested	Close real missing obligations; no tail after cfg(test) omission; no zero-test false pass	mutations after test-attributed item; compile-fail; test listing; genuine state/action assertions	TASK-031;TASK-065;TASK-066;TASK-071	docs/refactoring-plan/history-inputs-obligations.tsv:40	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Architecture checks scan all production items; names correspond to executable tests; conformance meaningful Source disposition: accepted. Exact source: docs/refactoring-plan/history-inputs-obligations.tsv:40.
HIST	HI-050	HI-050	docs/audit/app-audit.md5-6; STATE baseline	e81ca17b	Historical app tests and deterministic journeys preserve product semantics across architecture migration	historical evidence; current immutable oracle wins	pre-refactor test198 baseline; later247 reported	Showcase; TablePro; Jackin; Holla from oracle auditors	not independently tested	Expand beyond old screenshots/counts; exact key/mouse/focus/resize/domain action outcomes	oracle-driven full frames and actions; deterministic clock; cursor/hitbox assertions	TASK-066;TASK-069;TASK-071	docs/refactoring-plan/history-inputs-obligations.tsv:51	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Historical app tests and deterministic journeys preserve product semantics across architecture migration Source disposition: historical evidence; current immutable oracle wins. Exact source: docs/refactoring-plan/history-inputs-obligations.tsv:51.
HIST	HI-060	HI-060	docs/reviews/adjudication-p-prototype-decisions.md P2	bb92a657	Render matrix test paths binding; two targets temporary throughSlice4 and mergeSlice5	accepted dated staging	0f66160/dc3e0fa reported	render.rs; render_components.rs; gate scripts	not independently tested	Check split expired or later amendment; while split every render gate names both, never halfmatrix green	List actual render::components paths; full matrix both themes/colors/sizes; later source ownership join	TASK-066;TASK-071	docs/refactoring-plan/history-inputs-obligations.tsv:61	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	Render matrix test paths binding; two targets temporary throughSlice4 and mergeSlice5 Source disposition: accepted dated staging. Exact source: docs/refactoring-plan/history-inputs-obligations.tsv:61.
HIST	HM34	HM34	COMPONENT_ARCHITECTURE.md;docs/audit/legacy-test-disposition.md	e6eaca48 §44;3fa382cb	247 legacy tests require individual assertion/workload dispositions; aggregate new count and same benchmark name cannot prove preservation	accepted	3fa382cb inventory	all components;three old apps;perf	historical_map_needs_current_reconciliation	Map 76 lib/33 showcase/41 tablepro/67 jackin/30 perf assertions including split successors and reasoned removals	machine per-test set equality and current named successor verification	TASK-007;TASK-066;TASK-071	docs/refactoring-plan/history-middle-obligations.tsv:35	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-003	AC-003	CHK-005	preservation	247 legacy tests require individual assertion/workload dispositions; aggregate new count and same benchmark name cannot prove preservation Source disposition: accepted. Exact source: docs/refactoring-plan/history-middle-obligations.tsv:35.
