parent_scenario	previous_primary	complete_primary	required_application_producers	flow_audit	source_clause	preserved_parent_contract
JA-001	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial first-use,returning,accounts-mixed,launch-running,launch-failure,capsule-multi,outro-last,hard-cases fixture; fresh(each world,Paused,0); draw; T(5); checkpoints: Initial route/full cells/cursor; paused frames unchanged; all eight worlds | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/scenario.rs:5;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:201	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-002	TASK-051	TASK-051	TASK-051	Initial first-use fixture; variant frame=0,45,P1_LEN-1,P1_LEN,P1_LEN+P2_LEN,KNOCK_START,KNOCK_START+1,WARP_START,WARP_START+1,INTRO_END-1; fresh(first-use,Paused,frame); checkpoints: Typed text, glitch glyphs, caption, warp and final phase exact; fixed seed | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/rain.rs:475-643;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:139	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-003	TASK-051	TASK-051	TASK-051	Initial first-use fixture; fresh(first-use,Full,0); K(Enter); T(45); K(Enter,Enter); reset; replay(first_use_plays_intro_then_manager_and_no_replay_when_returning); checkpoints: Guard prevents stale skip; phase skip then manager; returning never replays ritual | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:505;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:115	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-004	TASK-051	TASK-051	TASK-051	Initial first-use fixture; fresh(first-use,Reduced,0); T(3); K(Enter); reset; fresh(first-use,Full,0); K(Ctrl-C); checkpoints: Reduced static boundary and manager; Ctrl-C releases entry claim and quits | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:139;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:505	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-005	TASK-051	TASK-051	TASK-051	Initial returning fixture; K(Home,Right,Down,Tab,Esc); K(*,-,End,Home); variant K(j,k,l,h,g,G,PageDown,PageUp); checkpoints: Workspace/instance/session tree selection, expand/collapse, detail focus, top/middle/bottom and scroll limits | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:1889;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:158	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-006	TASK-051	TASK-051	TASK-051	Initial returning fixture; click(workspace payments-platform); double-click(workspace payments-platform); click(instance 7f3a); wheel(tree,3); wheel(detail,3); drag(manager seam,4 cells right); drag(manager seam,4 cells left); checkpoints: Pointer hitboxes, action activation, scroll routing, split proportions and constraints | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:on_click,on_double_click,on_drag,on_wheel	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-007	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial returning fixture; variant select(Current directory),select(payments-platform),select(running instance),select(stopped instance),select(pane),select(+ New workspace); K(Enter); checkpoints: Each row activation reaches its oracle route/dialog or refusal; chosen domain identity preserved | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:activate	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-008	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning,first-use fixture; variant select(workspace); K(e),K(d,Esc),K(w),K(o); for delete-confirm variant confirm destructive choice; T(20); checkpoints: Edit route; delete guard/pending removal; prewarm status; GitHub selection/status; exact in-memory effect | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:1787-1882	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-009	TASK-056	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial returning fixture; variant select(instance); K(n),K(a),K(x),K(i),K(t,Esc),K(p,Esc),K(r); separate fresh confirmed stop/purge variants; checkpoints: Session picker, shell, inspect, stop/purge confirmation, reconnect/restore; status-specific enabled actions | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:1829-1882	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-010	TASK-051	TASK-051	TASK-051	Initial hard-cases fixture; fresh(hard-cases,Reduced,0); K(F5); T(60); K(End,PageUp,Home); wheel(tree,100); wheel(tree,-100); checkpoints: Discovery failure keeps last-good rows; long names, many rows, missing daemon, scroll edge clipping | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/manager.rs:1770;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/domain/fixtures.rs	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-011	TASK-053	TASK-054	TASK-051;TASK-052;TASK-053;TASK-054	Initial returning fixture; replay(manager_launch_picker_hides_agents_without_an_account); variant choose agent with one account,with multiple accounts,with no valid account; Escape each nested picker; checkpoints: Unavailable agent filtering, account defaults/preferences, cancellation keeps selection and no launch effect | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1110;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/domain/workspace.rs	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-012	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(n); K(Space,Enter,Enter,Enter); replay(prelude_creates_a_pending_workspace_and_opens_the_editor); checkpoints: All five steps, skipped Edit, pending editor, no durable workspace before save | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/prelude.rs:31;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:416	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-013	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(n); browser K(g); type(https://github.com/example/demo.git); choose source; choose custom destination; type(/work/demo); continue through Edit and Workdir; type(Demo); rewind Esc through each step; checkpoints: Git/source/destination validation; choice persistence and stepper labels; no persistence during rewind | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/prelude.rs;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/modals.rs:266	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
