source_namespace	source_id	task_id	requirement_id	acceptance_id	check_id	role	disposition
APP	JA-005	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-005	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-005	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-005	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-006	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-006	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-006	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-006	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-010	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-010	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-010	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-010	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-014	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-014	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-014	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-014	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-015	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-015	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-015	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-015	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-002	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-002	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-002	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-002	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-003	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-003	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-003	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-003	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-004	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-004	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-004	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-004	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-070	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-070	TASK-051	R-001	AC-001	CHK-004	primary	required
APP	JA-070	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-070	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-016	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-016	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-016	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-016	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-017	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-017	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-017	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-017	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-018	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-018	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-018	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-018	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-019	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-019	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-019	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-019	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-020	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-020	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-020	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-020	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-021	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-021	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-021	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-021	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-022	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-022	TASK-053	R-001	AC-001	CHK-004	primary	required
APP	JA-022	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-022	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-023	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-023	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-023	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-023	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-024	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-024	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-024	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-024	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-025	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-025	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-025	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-025	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-026	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-026	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-026	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-026	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-027	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-027	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-027	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-027	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-028	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-028	TASK-053	R-001	AC-001	CHK-004	primary	required
APP	JA-028	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-028	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-029	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-029	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-029	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-029	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-008	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-008	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-008	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-008	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-008	TASK-051	R-003	AC-003	CHK-005	preservation	bounded-contribution; full scenario closes only at primary owner
APP	JA-012	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-012	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-012	TASK-057	R-001	AC-001	CHK-004	closure	required
APP	JA-012	TASK-069	R-001	AC-001	CHK-004	integration	required
APP	JA-012	TASK-051	R-003	AC-003	CHK-005	preservation	bounded-contribution; full scenario closes only at primary owner
APP	JA-013	TASK-004	R-001	AC-001	CHK-004	baseline	required
APP	JA-013	TASK-052	R-001	AC-001	CHK-004	primary	required
APP	JA-013	TASK-057	R-001	AC-001	CHK-004	closure	required
