scenario_id	page	sizes	action_checkpoints	required_observable_proof	source_refs	components
SC-BASE-overview	overview	80x24,100x30,120x40,160x50	fresh draw	Complete shell; swatches; typography; badges; guidance	O:pages/overview.rs:76	theme,text,Panel
SC-BASE-buttons	buttons	80x24,100x30,120x40,160x50	fresh draw	Four button kinds; toggle on/off; disabled; inert state matrix	O:pages/buttons.rs:70	Button,Panel
SC-BASE-inputs	inputs	80x24,100x30,120x40,160x50	fresh draw	Six fields; error/placeholder/disabled/masked values; inert states	O:pages/inputs.rs:121	TextInput,Field,Panel
SC-BASE-textareas	textareas	80x24,100x30,120x40,160x50	fresh draw	Long/empty/disabled/error text areas; edge fades	O:pages/textareas.rs:62	TextArea,Panel,scrollbar
SC-BASE-forms	forms	80x24,100x30,120x40,160x50	fresh draw	Full form and accessible controls at each viewport	O:pages/forms.rs:129	Field,TextInput,TextArea,Checkbox,RadioGroup,Toggle,Button
SC-BASE-lists	lists	80x24,100x30,120x40,160x50	fresh draw	Single/multi/disabled/empty list presentation	O:pages/lists.rs:66	List,Panel,scrollbar
SC-BASE-trees	trees	80x24,100x30,120x40,160x50	fresh draw	Tree hierarchy and selection detail	O:pages/trees.rs:34	Tree,Panel,scrollbar
SC-BASE-tables	tables	80x24,100x30,120x40,160x50	fresh draw	Tasks/Checks columns; tones; clipping	O:pages/tables.rs:97	Table,Panel,scrollbar
SC-BASE-editable	editabletables	80x24,100x30,120x40,160x50	fresh draw	Cell navigation table; preset branch error	O:pages/editable.rs:75	Table,TextInput,Panel
SC-BASE-panels	panels	80x24,100x30,120x40,160x50	fresh draw	Titled/nested/framed/scrollable/follow panels	O:pages/panels.rs:71	Panel,ScrollPanel,List
SC-BASE-sidebars	sidebars	80x24,100x30,120x40,160x50	fresh draw	Sections; labels/icons; disabled Billing; current vs cursor	O:pages/sidebars.rs:372	NavList,Panel,Button
SC-BASE-dialogs	dialogs	80x24,100x30,120x40,160x50	fresh draw	Four launcher kinds; Nothing yet results	O:pages/dialogs.rs:102	Dialog,Button,Panel
SC-BASE-progress	progress	80x24,100x30,120x40,160x50	fresh draw at tick0	Live/static progress variants and labels	O:pages/progress.rs:44	Progress,Spinner,Button,Panel
SC-BASE-scrolling	scrolling	80x24,100x30,120x40,160x50	fresh draw at tick0	Wrapped prose/list/log position labels and fades	O:pages/scrolling.rs:54	ScrollPanel,List,scrollbar,fade
SC-BASE-terminal	terminal	80x24,100x30,120x40,160x50	fresh draw at tick0	Terminal/step rail split and commands	O:pages/terminal.rs:205	TerminalViewport,StepRail,SplitPane,Button
SC-BASE-editor	codeeditor	80x24,100x30,120x40,160x50	fresh draw	Syntax/block marks/completion closed; no cursor while navigation focused	O:pages/editor.rs:319	CodeEditor,Completion,Panel
SC-BASE-diff	diff	80x24,100x30,120x40,160x50	fresh draw	Unified hunks; Unicode lines; controls and chrome	O:pages/diff.rs:87	DiffView,TerminalViewport,Button,Panel
SC-BASE-grid	datagrid	80x24,100x30,120x40,160x50	fresh draw	40 customers of96; eight typed columns; toolbar/footer; null/JSON/bool/currency	O:pages/grid.rs:309	DataGrid,Panel,Button,Props
SC-BASE-chips	chipsselects	80x24,100x30,120x40,160x50	fresh draw	Filter chips; disabled engine; selects; segments/props/empty	O:pages/chips.rs:131	ChipBar,Select,Segments,Props,EmptyState
SC-BASE-pickers	pickers	80x24,100x30,120x40,160x50	fresh draw	Three launcher variants and result placeholder	O:pages/pickers.rs:314	Picker,Button,Props,Panel
SC-BASE-chrome	chrome	80x24,100x30,120x40,160x50	fresh draw	Brand/menu/session/status composition and hint priority	O:pages/chrome.rs:191	Brand,MenuBar,Menu,List,StatusBar,KeyHints
SC-BASE-settings	settings	80x24,100x30,120x40,160x50	fresh draw	General tab; defaults and save state	O:pages/settings.rs:158	Tabs,Field,Table,List,Dialog,Button
SC-BASE-taskrunner	taskrunner	80x24,100x30,120x40,160x50	fresh draw at tick0	Pipeline idle; targets/tree; log; disabled cancel	O:pages/taskrunner.rs:215	Tree,ScrollPanel,Progress,Button,Dialog
SC-FOCUS	all23	80x24,120x40,160x50	Expand every reachable focus stop forward Tab cycle then reverse BackTab; fresh-run hover/down/up every live target and disabled/inert sample	Full frames at each stop/event; exact focus order; disabled and inert actions absent; no phantom controls	O:app.rs:445,610;O:pages/mod.rs:115	FocusRing,HitRegistry,runtime,all-controls
SC-RESIZE	all23	80x24,100x30,120x40,160x50	Replay first stateful family sequence through first nondefault checkpoint (Overview uses inspector); resize80x24->100x30->120x40->160x50->80x24; key Tab then wheel at retained owner	Immediate resize frame and next event; state retention; cursor/focus/scroll clamp; no stale hit geometry	O:app.rs:365,813;O:app_tests.rs:736	layout,focus,scroll,runtime
SC-SHELL-NAV	overview	80x24,100x30,120x40,160x50	Down; Enter; Right; Esc; 0; End; Enter; ]; [; Home; PageDown; PageUp; g; G; fresh-run j;k;l;Space	Cursor vs active page; enter content vs remain navigation; wrapping; all23 pages including Diff reachable; Esc never quits	O:app.rs:445;O:app_tests.rs:536	NavList,FocusRing
SC-SHELL-HITS	overview	80x24,100x30,120x40,160x50,100x31,100x32	Fresh-run each visible sidebar row: hover; Down; Up; fresh-run Down(row),Up(other row); click headings/gaps/clipped positions; wheel(nav,+1); End; at80x24 drag(nav scrollbar,top,bottom); at100x30/100x31/100x32/120x40/160x50 assert shell scrollbar absent and no scrollbar hit	Frozen O coordinates select matching page; no heading/gap activation; wheel does not move cursor/focus; reveal last page; exact edge fade; compact23 rows and expanded28 rows determine explicit overflow/fit branches	O:app.rs:953;O:app.rs:1222	NavList,scrollbar,fade,HitRegistry
SC-SHELL-HELP	buttons	80x24,100x30,120x40,160x50	focus(Run task); ?; Tick; Tab; BackTab; wheel(background,+1); click(background Run task); paste(abc); Esc; click(header Help); Enter	Focus barrier/restoration; dim frame; no background effects; dialog hints replace page hints	O:app.rs:424,584,610;O:app_tests.rs:454	Dialog,overlay,focus,runtime
SC-SHELL-INSPECTOR	buttons	80x24,99x30,100x30,109x30,110x30,120x40,160x50	i; hover(Run task); Down(Run task); Up(Run task); Tab; move pointer; click(header Inspector)	Inspector threshold30 columns; mode/focus/hover/press/mouse/key/stop/tick/color fields; header capability clipping	O:app.rs:849,1061	Panel,layout,interaction
SC-SHELL-MINIMUM	buttons	71x20,72x19,72x20,80x24	resize71x20; Tab; resize72x19; resize72x20; resize80x24; click(Run task); fresh undersize q; fresh edit Ctrl+C	Exact reduced notice and recovery; no stale controls; exit codes and terminal restoration	O:app.rs:813,902;O:app_tests.rs:172,181,552	runtime,layout
SC-SHELL-STATUS	buttons	120x40	click(Run task) at t0; time139ms;time140ms;time4000ms+Tick;time4000ms+1ns without Tick;Tick; fresh click(Run task) t0;click(Preview) t1000ms;time5000ms+Tick;time5000ms+1ns without Tick;Tick	Flash active before140ms and absent at140ms on redraw; stored status alive at exactly4000ms Tick and after clock-only expiry redraw; explicit next Tick expires it; replacement resets expiry to5000ms; no duplicate footer hints	O:app.rs:386,1129	clock,KeyHints,Button
SC-SHELL-PERSIST	inputs	120x40	focus(Project name);Enter;End;type(-persist);Enter;];[;assert committed value retained and navigation focused;focus(Project name);Enter;type(q[]?i0);Esc;fresh focus(Project name);Enter;Ctrl+C	Committed data persists route roundtrip while focus returns to navigation; explicit edit re-entry shields global printable shortcuts as text; Ctrl+C still quits	O:app.rs:365,512;O:pages/inputs.rs:210	routing,TextInput
SC-BUTTON-ACTIONS	buttons	80x24,120x40	Fresh each Run task/Preview/Cancel/Delete branch: focus;Enter; fresh Space; fresh click; Auto-approve click twice;Verbose Enter twice	Clicks count/status/local last; kind and toggle states identical; each activation exactly once	O:pages/buttons.rs:42,186	Button,Status
SC-BUTTON-DISABLED	buttons	120x40	hover/down/up Disabled primary;hover/down/up Disabled;activate Start long job;attempt click again while busy	No disabled activation/focus; busy nonactivatable; inert matrix never creates stops	O:pages/buttons.rs:22,186;O:app_tests.rs:221	Button,focus
SC-BUTTON-TIME	buttons	120x40	click(Start long job) t0;1000 ordinary events at t0;1000 draws at t0;time2199ms;time2200ms+Tick;Tick;fresh start then ?;time2300ms;Tick;assert job still busy while modal;Esc;Tick;fresh start then];time2300ms;Tick;[;assert job still busy before eligible Tick;Tick	Working and completion statuses; local last preserved; completion exactly once only eligible page tick; hidden/modal ownership	O:pages/buttons.rs:42,186;M:apps/showcase/tests/elapsed_contract.rs:45	clock,Button,runtime
SC-INPUT-EDIT	inputs	80x24,120x40,160x50	Fresh each Project name/Branch/Search files: focus;Enter;Ctrl+U;type(café 東京);Home;Shift+Right;Ctrl+Right;Backspace;paste(x\ny);Tab;BackTab;Enter;type(z);Esc	Actual drafts/commit/revert; grapheme cursor; selection; paste sanitation; Tab traversal; saved/Reverted footer	O:pages/inputs.rs:210;O:src/widgets/input.rs:190	TextInput,text-edit,Field
SC-INPUT-EMAIL-MASK	inputs	120x40	focus(Owner email);Enter;Ctrl+U;Enter;assert Required and editing false;Enter;type(bad);Enter;assert invalid email and editing false;Enter;Ctrl+U;type(mira@example.test);Enter;assert valid committed email;focus(API key);Enter;End;type(秘密);Enter;fresh click Search files	Required vs invalid vs valid with explicit edit re-entry; five enabled fields reachable; masked edit vs last-four reveal; one click edits	O:pages/inputs.rs:13,28,210	TextInput,validation,masking
SC-TEXTAREA-EDIT	textareas	80x24,100x30,120x40,160x50	focus(Notes);Enter;type(café 東京);Enter;paste(second\nthird);Home;Shift+End;Backspace;Esc; at80x24 assert Commit message and Read-only transcript content controls clipped with no focus/hits; at100x30/120x40/160x50 focus(Commit message);Enter;type(!);Tab;hover/down/up(Read-only transcript)	Enter inserts newline; Esc commits; multiline selection/cursor; exact narrow clipped second-card frame and absent controls; source-visible error/help and disabled sample inert at taller sizes	O:pages/textareas.rs:20,80;O:src/widgets/textarea.rs:100	TextArea,text-edit
SC-TEXTAREA-SCROLL	textareas	80x24,100x30,120x40	focus(Task description);End;Home;PageDown;wheel(Task description,+3);Enter;End;Home;Down*40;drag(scrollbar,thumb,bottom)	First/last/wrapped lines; vertical/horizontal cursor reveal; edge fade and scroll clamp	O:app_tests.rs:388;O:pages/textareas.rs:80	TextArea,scrollbar,fade
SC-FORM-VALIDATE	forms	80x24,120x40	Ctrl+S;focus(Task name);Enter;type(abc);Enter;Ctrl+S;Enter;Ctrl+U;type(Build project);Enter;focus(Reviewer);Enter;type(bad);Enter;Ctrl+S;Enter;Ctrl+U;type(mira@example.test);Enter	First-error focus; Required/min4/email validation; typed valid values remain live	O:pages/forms.rs:16,25,84,92	Form,Field,validation
SC-FORM-SUBMIT	forms	80x24,120x40	Set Task name=Build project;Description=Line1 newline Line2;Mode Down+Space;toggle Run tests/Open PR/Auto-approve;click disabled Notify;Ctrl+S t0;time1800ms+Tick;time1800ms+1ns+Tick;click Reset	Exact selected values; busy remains at1800; done after1800; reset restores full defaults; disabled skip	O:pages/forms.rs:57,92,229	Form,TextArea,RadioGroup,Checkbox,Toggle,clock
