id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids
A01	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3 / A,J	Separate update and draw; props borrow configuration and state stays caller-owned	accepted	18afddd2;7899678d	crates/tui/src/components;apps	retain_and_verify	Compile borrowed phase calls and external state ownership; no model data stored in props	architecture;external examples	TASK-010;TASK-065
A02	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3,§5 / J	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection	accepted	18afddd2;11b0d687	runtime;components;apps	retain_and_strengthen_proof	Repeated production draw preserves semantic state and effects including callbacks/interior mutability	draw-purity;Holla independent draw review	TASK-031;TASK-065
A03	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3 / J	Derived caches runtime-owned and keyed by Id/type plus size/theme/source generation	accepted	7899678d	ui;runtime	retain_and_verify	Invalidate stale derived facts without hiding durable state in caches	cache invalidation;resize;repeated draw	TASK-010;TASK-067
A04	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §6 / C,J	Response flow, invalidation and typed semantic action are independent	accepted	18afddd2	response.rs	retain_and_verify	Boundary wheel consumes without repaint; actions retain identity	response unit tests;scroll boundary	TASK-010
A05	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §6,§25	Only Response<()> may fold; preserve first present id and strongest invalidation	accepted	7899678d	response.rs	retain_and_verify	Compile-fail action-bearing fold; unit merge laws	trybuild;response laws	TASK-010
A06	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §7 / B,J,§25	Stable namespaced ItemKey identity independent of visible index	accepted	18afddd2;7899678d	id;collections;app adapters	retain_and_verify	Reorder/insert/delete/filter/sort must not retarget selection/edit/close	identity property tests	TASK-015;TASK-020
A07	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §7,§25	Id structural equality/order/hash and duplicate diagnostics; no claimed mathematical collision prevention	accepted	7899678d	id;runtime registry	retain_and_verify	Derived-id corpus and duplicate diagnostics	id unit tests;external const patterns	TASK-010
A08	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	One runtime owns focus registration, traversal, restoration, hover, pressed/capture and cursor	accepted	18afddd2	runtime;focus;hit;apps	retain_and_verify	Remove app duplicates while reproducing oracle behavior	architecture boundary;four-app interactions	TASK-010
A09	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Hit priority highest layer then latest registration; decoration does not receive control input	accepted	7899678d	hit;runtime	retain_and_verify	Overlap/layer/decorative negative probes	runtime hit tests	TASK-010
A10	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73	Disabled top hit absorbs all activating pointer input without lower fallthrough	accepted	7763d50;b0ad014	runtime;focus	proof_gap	Add direct overlapping enabled lower/disabled upper runtime proof	disabled activation;overlap test	TASK-010
A11	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73	Disabled hover can be observed but presentation strips hovered/pressed; wheel may remain routable	accepted	7763d50	runtime;components	retain_and_verify	Separate activation eligibility from wheel/hover/ClickOnly behavior	AC2;disabled conformance	TASK-010
A12	COMPONENT_ARCHITECTURE.md;crates/tui/src/{runtime,capture}.rs	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73;715ee0777e20a09e0f373b07024076bdc742ef1d	Successfully published disabled/absent/decorative/empty/layer-blocked target cancels held capture and press; no Release/Click resurrection	accepted_implementation_closes_historical_gap	715ee0777e20a09e0f373b07024076bdc742ef1d	runtime.rs:1725;capture.rs:19;pointer_capture_eligibility.rs	implemented_retention_verification	Retain publication-boundary cancellation and independent timed feedback; do not create duplicate implementation task	pointer_capture_eligibility suite; disable/re-enable; dropped-frame boundary; no lower retarget	TASK-010
A13	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Pointer capture preserves actual press anchor and owner; resize/removal/generation mismatch releases capture	accepted	7899678d	runtime	retain_and_verify	Drag outside/release; owner vanishes; nested capture rejected	capture lifecycle tests	TASK-010
A14	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	Hover and wheel never steal focus; keyboard suppresses hover until pointer movement	accepted	18afddd2	runtime;components	retain_and_verify	Pointer/key sequence asserts focus and hover separately	conformance;app journeys	TASK-010
A15	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	Nested scroll owner consumes at boundary without chaining or repaint	accepted	18afddd2	scroll_region;runtime	compare_new_oracle	Preserve exact oracle routing and model boundaries	nested wheel;boundary equality	TASK-014
A16	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Focus settling never duplicates physical input; bounded nonconvergence diagnostic preserves pending notifications	accepted	7899678d	runtime	retain_and_verify	Transition delivery assertions through resize and settling	focus-settle tests	TASK-010
A17	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§9	Esc first reaches focused editor, then application bubble/escape policy and layer dismissal	accepted_amended	7899678d;577bf533	runtime;apps	retain_and_verify	Nested editing/modal/menu ladder and focus restoration	Esc journey matrix	TASK-010;TASK-017
A18	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §9,§29.8	Modal traps/restores even empty; popover dismisses on focus-out without restoring opener	accepted_amended	c493a2cd lineage	layers;runtime	retain_and_verify	Nonempty/zero-area forward/backward traps; same-owner reparenting	modal and popover tests	TASK-017;TASK-018
A19	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §9	Layer lifecycle controls barriers/z-order independent of paint call order	accepted	18afddd2	runtime;ui/layer	retain_and_verify	Reverse draw order, undrawn modal, duplicate layer, background input	layer conformance	TASK-017
A20	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	LayerSize Fill differs from Fixed zero; one resolver clamps/flips placement	accepted_amended	7899678d	layer placement;overlays	retain_and_verify	Empty/tiny/edge anchoring and dynamic size/error/theme updates	layer-size tests	TASK-012;TASK-017
A21	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	Open layers allow size/anchor updates only; immutable kind/inert/focus lifetime facts	accepted	7899678d	layers;overlay components	retain_and_verify	No-op setters do not repaint; lifecycle immutable	layer setters	TASK-017
A22	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	Measure queries styles without mutation/allocation; shares accumulation path with paint resolution	accepted	7899678d	ui;theme;layout	retain_and_verify	Differential family/variant/part/state tests; 1000 measures no effects	measurement differential;10k zero alloc	TASK-011;TASK-012
A23	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §5,§22	All paint/clip/hit/focus/scroll/cursor geometry derives from same allocation	accepted	7899678d;2caff455	ui;components;runtime	retain_and_verify	Tiny nonzero-origin containment and queued event freshness	geometry conformance;PTY resize	TASK-012
A24	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §5,§55	Empty leaves paint/register nothing; containers still invoke body exactly once under empty clip	accepted_amended	a1759b2a	panel;dialog;ui	retain_and_verify	Bare return sentinel, malicious body containment, tiny/zero dimensions	container closure tests	TASK-012;TASK-027
A25	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §55	Panel/Dialog body returns bare R; only Ui::layer returns Option<R>	accepted	a1759b2a	panel;dialog;ui	retain_and_verify	Public signatures and one body invocation	signature gate;external examples	TASK-023;TASK-027
A26	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §56	SplitPane sole two-rect body exception; logical order and seam excluded; no public bypass geometry	accepted	a1759b2a	split_pane	retain_and_verify	Horizontal/vertical/collapse/maximize/empty/seam tests	split conformance	TASK-012
A27	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§25	Layout Auto/Flex/measure semantics explicit; allocation-free distribution	accepted_amended	7899678d	layout.rs	retain_and_verify	Measured/unmeasured Auto and fixed/flex clipping	layout tests;10k allocations	TASK-012
A28	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§25	RowUi column limit is explicit and cannot silently remove required oracle content	accepted_with_limit	7899678d	rowui;ColumnsUi	verify_scope	Account every consumer exceeding or approaching limit	external columns fixture	TASK-015
